bangla,english,santali
তোমাদের পছন্দ গুরুত্বপূর্ণ।,Your choice is important.,apɛaʔ əpɾug d̪ɔ ɟɘɾuɽa.
দুর্যোগটি ভালো।,The calmity is good.,apʰoti d̪ɔ mɔ̃ɟa.
ঋতুটি পরিষ্কার।,The season is clean.,bataɾ d̪ɔ sapʰaa.
আমরা দাদি দেখেছিলাম।,We saw the grandmother.,alɛlɛ əd͡ʒi ɲɛlkeda.
হ্রদে একটি আত্মা আছে।,There is a soul in the lake.,ɟɔlaɾɛ atma menaa.
সকালে তারা ঔষধ কিনে গ্রামে আসবে।,"In the morning, they buy the medicine and then come to the village.",sɛt̪aʔɾɛ oŋko ɾan kiɾiɲkat̪ɛ at̪oɾɛ hiɟuʔa.
সেই সময় সে ঔষধ কিনে গ্রামে যাবে।,"At that time, he/she buy the medicine and then go to the village.",ɔkt̪ɛɾɛ uni ɾan kiɾiɲkat̪ɛ at̪oɾɛ calaʔa.
সে ছবি পেয়েছে।,He/she has gotten the photo.,uni d̪ɔ pʰɔʈɔ ɲamakada.
আমাদের আখরোট পরিষ্কার।,Our walnut is clean.,alɛaʔ akʰɾoʈ d̪ɔ sapʰaa.
পাড়াে একটি আতশবাজি আছে।,There is a fireworks in the neighbourhood.,aɖe paseɾɛ bʰui̯t͡ʃampa menaa.
সেই সময় সে মুখের কর্কট রোগ দেখে নদীতে আসবে।,"At that time, he/she see the cancer of the face and then come to the river.",ɔkt̪ɛɾɛ uni bandoɾ gali ɲɛlkat̪ɛ gaɖaɾɛ hiɟuʔa.
বাসস্থানে একটি বাদাম আছে।,There is an almond in the residence.,basaɾɛ badam d͡ʒɔ menaa.
শুকরটি ছোট।,The pig is small.,suk̚ɾi d̪ɔ lɘʈua.
স্কুলে একটি দাম আছে।,There is a price in the school.,iskulɾɛ bʰao̯ menaa.
ইংল্যান্ডে একটি টাকা আছে।,There is a money in the england.,bilətɾɛ ʈaka menaa.
আজ আমরা ঔষধ কিনে বাড়িতে খেলব।,"Today, we buy the medicine and then play in the house.",t̪eheɲɾɛ alɛ ɾan kiɾiɲkat̪ɛ ɔɽaʔɾɛ gat̪ea.
সেই সময় সে ভাষা পড়ে বাড়িতে আসবে।,"At that time, he/she study the language and then come to the house.",ɔkt̪ɛɾɛ uni pɘɾsi paɽha͡o̯kat̪ɛ ɔɽaʔɾɛ hiɟuʔa.
আমি অভিশাপ দেখব না।,I do not see the curse.,iɲ d̪ɔ əsis bɘɲ ɲɛla.
গুপ্তচরটি ভালো।,The spy is good.,baʈ paɽ d̪ɔ mɔ̃ɟa.
তোমরা ঘড়ি কিনেছ।,You all have bought the watch.,apɛ d̪ɔ gʰuɽi kiɾiɲakada.
গতকাল তোমরা বাষ্প দেখে বাড়িতে যাবে।,"Yesterday, you all see the steam and then go to the house.",hɔlaɾɛ apɛ bʰapʰ ɲɛlkat̪ɛ ɔɽaʔɾɛ calaʔa.
উঠানে একটি শিশু আছে।,There is a child in the courtyard of house.,bəteɾɛ gid̪ɾɘ menaa.
বাসস্থানে একটি শিশু আছে।,There is a child in the dwelling place.,basɾɛ gid̪ɾɘ menaa.
তারা লিখছে।,They are writing.,oŋkoko ɔlɔʔɛd̪a.
গাঁজাটি ভালো।,The hemp drug is good.,bʰaŋ d̪ɔ mɔ̃ɟa.
গতকাল তুমি ভাষা লিখে গ্রামে কাজ করবে।,"Yesterday, you write the language and then work in the village.",hɔlaɾɛ am pɘɾsi ɔlɔʔkat̪ɛ at̪oɾɛ kɘmia.
স্কুলে একটি পা আছে।,There is a foot in the school.,iskulɾɛ kaʈa menaa.
সেই সময় আমি খাবার কিনে গ্রামে যাব।,"At that time, I buy the food and then go to the village.",ɔkt̪ɛɾɛ iɲ ɟɔmaʔ kiɾiɲkat̪ɛ at̪oɾɛ calaʔa.
উঠানে একটি উল আছে।,There is a wool in the courtyard of house.,bəteɾɛ bʰiɖi up̕ menaa.
আমড়াটি নতুন।,The hog plum is new.,amɽa d̪ɔ nɔwaa.
বাসিন্দাটি আনন্দের।,The inhabitant is happy.,baskitiə̯ d̪ɔ ɾɘskɘa.
বাড়িতে একটি ভাড়া আছে।,There is a fare in the house.,ɔɽaʔɾɛ bʰaɽa menaa.
তারা পশুপাখির ডাক দেখবে।,They will see the cry of beasts & c.,oŋko d̪ɔ aɳɖɾac̕ ɔɳɖɾɔc̕ ɲɛla.
ফকিরটি ভালো।,The fakeer is good.,babad͡ʒi d̪ɔ mɔ̃ɟa.
বাসস্থানে একটি ভিক্ষুক আছে।,There is a beggar in the residence.,basaɾɛ bʰikʰəɾi menaa.
একটি বাবা গ্রামে আছে।,One father is in the village.,mit̪ʔʈɛn baba d̪ɔ at̪oɾɛ menaa.
কুয়ায় একটি মা আছে।,There is a mother in the well.,kuɲɾɛ gɔgɔ menaa.
তাদের বৈশাখ মাস পরিষ্কার।,Their april-may is clean.,oŋkoaʔ bəi̯sək d̪ɔ sapʰaa.
বাদ্যযন্ত্রটি ভালো।,The musical instrument is good.,bad͡ʒa d̪ɔ mɔ̃ɟa.
নদীতে একটি ভাই আছে।,There is a brother in the river.,gaɖaɾɛ bɔ͡i̯ha menaa.
স্বাস্থ্যটি ভালো।,The health is good.,bega d͡ʒudə d̪ɔ mɔ̃ɟa.
বাসস্থানে একটি ভাষা আছে।,There is a language in the dwelling place.,basɾɛ pɘɾsi menaa.
সেই সময় তোমরা পানি পান করে গ্রামে যাবে।,"At that time, you all drink the water and then go to the village.",ɔkt̪ɛɾɛ apɛ d̪aʔ ɲukat̪ɛ at̪oɾɛ calaʔa.
তার বয়লার ভালো।,His/her boiler is good.,uniaʔ bʰəʈʰi d̪ɔ mɔ̃ɟa.
আমার সময় ভালো।,My time is good.,iɲaʔ ɔkt̪ɛ d̪ɔ mɔ̃ɟa.
নিকটবর্তী এলাকাে একটি জন্ম আছে।,There is a birth in the vicinity.,aɖe ʈolaɾɛ biə̯n menaa.
গ্রামে একটি বিধাতা আছে।,There is a providence in the village.,at̪oɾɛ bʰidata menaa.
বাসস্থানে একটি পিঁপড়া আছে।,There is an ant in the residence.,basaɾɛ muc̚ʔ menaa.
আমরা বেঁকানো যন্ত্র ও ফুলের মালা দেখব।,We will see the brace for boring and the garland of flowers.,alɛ d̪ɔ bʰãoɾa aɾ baha mala ɲɛla.
নিকটবর্তী এলাকাে একটি কোমরবন্ধ আছে।,There is a girth in the vicinity.,aɖe ʈolaɾɛ beɽband menaa.
তার অবশিষ্ট নতুন।,His/her remainder is new.,uniaʔ bəki bɔkɔe̯a d̪ɔ nɔwaa.
গতকাল তারা বিবাহ দেখে কুয়ায় কাজ করবে।,"Yesterday, they see the marriage and then work in the well.",hɔlaɾɛ oŋko bapla ɲɛlkat̪ɛ kuɲɾɛ kɘmia.
সে সময় ও অর্ধ বিঘা দেখবে।,He/she will see the time and the half bigha.,uni d̪ɔ ɔkt̪ɛ aɾ bʰənga ɲɛla.
তোমার গরু ডাকার শব্দ আনন্দের।,Your cattle call is happy.,amaʔ bihet̕ d̪ɔ ɾɘskɘa.
সে মাছ খাবে।,He/she will eat the fish.,uni d̪ɔ haku ɟɔma.
জন্মটি পরিষ্কার।,The birth is clean.,biə̯n d̪ɔ sapʰaa.
অসুস্থতাটি গুরুত্বপূর্ণ।,The sickness is important.,bigʰin d̪ɔ ɟɘɾuɽa.
আমাদের আখড়া গুরুত্বপূর্ণ।,Our gathering is important.,alɛaʔ akʰɾa d̪ɔ ɟɘɾuɽa.
সকালে আমরা ভাষা লিখে স্কুলে যাব।,"In the morning, we write the language and then go to the school.",sɛt̪aʔɾɛ alɛ pɘɾsi ɔlɔʔkat̪ɛ iskulɾɛ calaʔa.
তোমার ভাষা ভালো।,Your language is good.,amaʔ pɘɾsi d̪ɔ mɔ̃ɟa.
ধনুকটি গুরুত্বপূর্ণ।,The bow is important.,ak̕ d̪ɔ ɟɘɾuɽa.
আমরা শত্রু দেখেছি।,We have seen the enemy.,alɛ d̪ɔ bəi̯ɾi ɲɛlakada.
"সে ভাষা পড়বে, কিন্তু ভাষা পড়বে না।","He/she will study the language, but does not study the language.",uni d̪ɔ pɘɾsi paɽha͡o̯a mɛnkʰan pɘɾsi bai̯ paɽha͡o̯a.
আমাদের পা নতুন।,Our leg is new.,alɛaʔ ɟaŋga d̪ɔ nɔwaa.
তার সময় ভালো।,His/her time is good.,uniaʔ ɔkt̪ɛ d̪ɔ mɔ̃ɟa.
সেই সময় সে পানি পান করে কুয়ায় আসবে।,"At that time, he/she drink the water and then come to the well.",ɔkt̪ɛɾɛ uni d̪aʔ ɲukat̪ɛ kuɲɾɛ hiɟuʔa.
আমাদের কয়েকদিন নতুন।,Our few days is new.,alɛaʔ əɾsiɲ bəɾsiɲ d̪ɔ nɔwaa.
চুল্লিটি ভালো।,The furnace is good.,bʰaʈa d̪ɔ mɔ̃ɟa.
স্কুলে একটি হুক আছে।,There is a hook in the school.,iskulɾɛ əŋkus menaa.
পাড়াে একটি শিশু আছে।,There is a child in the neighbourhood.,aɖe paseɾɛ gid̪ɾɘ menaa.
বাসস্থানে একটি জিহ্বা আছে।,There is a tongue in the residence.,basaɾɛ alaŋ menaa.
আমাদের পিঁপড়া আনন্দের।,Our ant is happy.,alɛaʔ muc̚ʔ d̪ɔ ɾɘskɘa.
তুমি মাছ ও মোবাইল ফোন কিনবে।,You will buy the fish and the mobile phone.,am d̪ɔ haku aɾ mɔbaĭl pʰon kiɾiɲa.
আসা-যাওয়াটি গুরুত্বপূর্ণ।,The coming & going is important.,ana gona d̪ɔ ɟɘɾuɽa.
বুদ্ধিটি নতুন।,The wisdom is new.,əkil d̪ɔ nɔwaa.
সেই সময় আমি পাঠ পড়ে গ্রামে আসব।,"At that time, I study the lesson and then come to the village.",ɔkt̪ɛɾɛ iɲ sikʰnɘt̪ paɽha͡o̯kat̪ɛ at̪oɾɛ hiɟuʔa.
তারা টাকা দেখেছিল।,They saw the money.,oŋkoko ʈaka ɲɛlkeda.
আমি ব্যাকরণ দেখব।,I will see the grammar.,iɲ d̪ɔ bejakaɾan ɲɛla.
অশান্তিটি গুরুত্বপূর্ণ।,The unrest is important.,bɛtʰiɾ d̪ɔ ɟɘɾuɽa.
সেই সময় তুমি ঔষধ কিনে গ্রামে যাবে।,"At that time, you buy the medicine and then go to the village.",ɔkt̪ɛɾɛ am ɾan kiɾiɲkat̪ɛ at̪oɾɛ calaʔa.
আমার আঁটি পরিষ্কার।,My bundle is clean.,iɲaʔ əʈi d̪ɔ sapʰaa.
সে লাভ ও আনারস দেখবে।,He/she will see the benefit and the pineapple.,uni d̪ɔ bapʰa aɾ ananas ɲɛla.
গতকাল আমি পাঠ পড়ে গ্রামে আসব।,"Yesterday, I study the lesson and then come to the village.",hɔlaɾɛ iɲ sikʰnɘt̪ paɽha͡o̯kat̪ɛ at̪oɾɛ hiɟuʔa.
তারা ঔষধ পেয়েছে।,They have gotten the medicine.,oŋko d̪ɔ ɾan ɲamakada.
বিস্তীর্ণ ভূমিে একটি বাসস্থান আছে।,There is a residence in the wide expanse of land.,bilənɾɛ basa menaa.
তুমি বাহুবন্ধনী দেখেছ।,You have seen the armlet.,am d̪ɔ bəd͡ʒu ɲɛlakada.
বাহুটি ভালো।,The arm is good.,bə̃hi d̪ɔ mɔ̃ɟa.
গতকাল তোমরা মধু খেয়ে স্কুলে আসবে।,"Yesterday, you all eat the honey and then come to the school.",hɔlaɾɛ apɛ ɲɛlɛɾasa ɟɔmkat̪ɛ iskulɾɛ hiɟuʔa.
তাদের পা ভালো।,Their foot is good.,oŋkoaʔ kaʈa d̪ɔ mɔ̃ɟa.
তুমি ঘড়ি কিনেছ।,You have bought the watch.,am d̪ɔ gʰuɽi kiɾiɲakada.
কুয়ায় একটি শব্দ আছে।,There is a noise in the well.,kuɲɾɛ awad͡ʒ menaa.
বাসস্থানে একটি আদিবাসী আছে।,There is an aborigines in the dwelling place.,basɾɛ bəu̯ɾi menaa.
অপমানটি গুরুত্বপূর্ণ।,The disgrace is important.,apd͡ʒɔs d̪ɔ ɟɘɾuɽa.
তারা আদিবাসী দেখবে না।,They do not see the aborigines.,oŋko d̪ɔ bəu̯ɾi bako ɲɛla.
গতকাল তারা কথা পড়ে কুয়ায় খেলবে।,"Yesterday, they study the word and then play in the well.",hɔlaɾɛ oŋko kat̪ʰa paɽha͡o̯kat̪ɛ kuɲɾɛ gat̪ea.
তাদের পাত্র গুরুত্বপূর্ণ।,Their receptacle is important.,oŋkoaʔ anataŋ d̪ɔ ɟɘɾuɽa.
তুমি ধনুক দেখবে না।,You do not see the bow.,am d̪ɔ ak̕ bam ɲɛla.
শোকটি ভালো।,The grief is good.,bedna d̪ɔ mɔ̃ɟa.
ভাষা কোথায় আছে?,Where is the language?,pɘɾsi d̪ɔ ɔkaɾɛ menaa.
গতকাল সে ভাষা লিখে হ্রদে খেলবে।,"Yesterday, he/she write the language and then play in the lake.",hɔlaɾɛ uni pɘɾsi ɔlɔʔkat̪ɛ ɟɔlaɾɛ gat̪ea.
আমরা অগ্রিম টাকা দেখেছিলাম।,We saw the advance.,alɛlɛ bae̯na ɲɛlkeda.
নদীতে একটি জেলে আছে।,There is a fisherman in the river.,gaɖaɾɛ ɟɘliɘ menaa.
আমাদের টাকা গুরুত্বপূর্ণ।,Our money is important.,alɛaʔ ʈaka d̪ɔ ɟɘɾuɽa.
গতকাল তোমরা ভাষা লিখে বাড়িতে কাজ করবে।,"Yesterday, you all write the language and then work in the house.",hɔlaɾɛ apɛ pɘɾsi ɔlɔʔkat̪ɛ ɔɽaʔɾɛ kɘmia.
তারা বাহুবন্ধনী দেখবে।,They will see the armlet.,oŋko d̪ɔ bəd͡ʒu ɲɛla.
তোমার আত্মা গুরুত্বপূর্ণ।,Your soul is important.,amaʔ atma d̪ɔ ɟɘɾuɽa.
তোমরা মোবাইল ফোন কিনবে না।,You all do not buy the mobile phone.,apɛ d̪ɔ mɔbaĭl pʰon bapɛ kiɾiɲa.
জিহ্বাটি গুরুত্বপূর্ণ।,The tongue is important.,alaŋ d̪ɔ ɟɘɾuɽa.
তোমাদের গুড়গুড় শব্দ ভালো।,Your rumbling sound is good.,apɛaʔ aʈap̕ uʈup̕ d̪ɔ mɔ̃ɟa.
আশ্বিন মাসটি গুরুত্বপূর্ণ।,The september–october is important.,asin d̪ɔ ɟɘɾuɽa.
ইংল্যান্ডে একটি ঢাকনা আছে।,There is a lid in the england.,bilətɾɛ bɛnɛt̕ menaa.
বাড়িতে একটি গুঁড়ি আছে।,There is a trunk in the house.,ɔɽaʔɾɛ auɳɖ menaa.
গতকাল সে পানি পান করে নদীতে আসবে।,"Yesterday, he/she drink the water and then come to the river.",hɔlaɾɛ uni d̪aʔ ɲukat̪ɛ gaɖaɾɛ hiɟuʔa.
নিকটবর্তী এলাকাে একটি কিশোর আছে।,There is a lad in the vicinity.,aɖe ʈolaɾɛ bat͡ʃʰɽa menaa.
তাদের ঘড়ি নতুন।,Their watch is new.,oŋkoaʔ gʰuɽi d̪ɔ nɔwaa.
আমার বকেয়া ভালো।,My arrears is good.,iɲaʔ bəki d̪ɔ mɔ̃ɟa.
করতালটি ভালো।,The cymbals is good.,bad͡ʒna d̪ɔ mɔ̃ɟa.
আমরা পেরিনিয়াল ফোঁড়া ও জন্ম দেখব।,We will see the perineal abscess and the birth.,alɛ d̪ɔ andʰãɾ gãɳɖ aɾ biə̯n ɲɛla.
আজ আমরা রান্না খেয়ে স্কুলে কাজ করব।,"Today, we eat the cooked food and then work in the school.",t̪eheɲɾɛ alɛ basaŋ ɟɔmkat̪ɛ iskulɾɛ kɘmia.
আড়ালে একটি ব্যবসায়ী আছে।,There is a trader in the covert.,ao̯tanɾɛ bepaɾi menaa.
তোমার বিড়াল আনন্দের।,Your cat is happy.,amaʔ pusi d̪ɔ ɾɘskɘa.
তাদের বাধা ভালো।,Their hindrance is good.,oŋkoaʔ badʰa d̪ɔ mɔ̃ɟa.
তোমার স্কুল ভালো।,Your school is good.,amaʔ iskul d̪ɔ mɔ̃ɟa.
কুয়ায় একটি অভ্যাস আছে।,There is a habit in the well.,kuɲɾɛ bʰəsi menaa.
বাসস্থানে একটি পিঁপড়া আছে।,There is an ant in the dwelling place.,basɾɛ muc̚ʔ menaa.
তুমি আয়না দেখেছিলে।,You saw the mirror.,amɛm əɾsi ɲɛlkeda.
গ্রামে একটি হাত আছে।,There is a hand in the village.,at̪oɾɛ t̪i menaa.
আমাদের ভোর নতুন।,Our dawn is new.,alɛaʔ aŋga d̪ɔ nɔwaa.
তার কর্তব্যচ্যুতি ভালো।,His/her omission of duty is good.,uniaʔ bʰisoɾ d̪ɔ mɔ̃ɟa.
বন্যাটি পরিষ্কার।,The flood is clean.,bəd d̪ɔ sapʰaa.
তুমি শিশু সাহায্য করবে।,You will help the child.,am d̪ɔ gid̪ɾɘ gɔɽɔa.
সেই সময় আমি পানি পান করে হ্রদে যাব।,"At that time, I drink the water and then go to the lake.",ɔkt̪ɛɾɛ iɲ d̪aʔ ɲukat̪ɛ ɟɔlaɾɛ calaʔa.
আসা-যাওয়াটি নতুন।,The coming & going is new.,ana gona d̪ɔ nɔwaa.
কুয়ায় একটি বিস্তীর্ণ ভূমি আছে।,There is a wide expanse of land in the well.,kuɲɾɛ bilən menaa.
আজ তুমি মধু খেয়ে বাড়িতে আসবে।,"Today, you eat the honey and then come to the house.",t̪eheɲɾɛ am ɲɛlɛɾasa ɟɔmkat̪ɛ ɔɽaʔɾɛ hiɟuʔa.
তুমি স্বস্তি দেখেছ।,You have seen the relief.,am d̪ɔ ao̯san ɲɛlakada.
গুহাে একটি মাথা ঘোরা আছে।,There is a vertigo in the cave.,bʰugək̕ɾɛ bʰãoɾi menaa.
আমার ব্রাহ্মণ গুরুত্বপূর্ণ।,My brahman is important.,iɲaʔ babɾẽ d̪ɔ ɟɘɾuɽa.
আমি লাভ দেখেছিলাম।,I saw the profit.,iɲiɲ baɾpʰəi̯ ɲɛlkeda.
সকালে আমি মাছ খেয়ে কুয়ায় আসব।,"In the morning, I eat the fish and then come to the well.",sɛt̪aʔɾɛ iɲ haku ɟɔmkat̪ɛ kuɲɾɛ hiɟuʔa.
হ্রদে একটি দোষ আছে।,There is a fault in the lake.,ɟɔlaɾɛ əpəi̯ menaa.
গতকাল সে মাছ খেয়ে নদীতে কাজ করবে।,"Yesterday, he/she eat the fish and then work in the river.",hɔlaɾɛ uni haku ɟɔmkat̪ɛ gaɖaɾɛ kɘmia.
আমি দাদা দেখেছিলাম।,I saw the grandfather.,iɲiɲ ad͡ʒa ɲɛlkeda.
আমি তাঁতের পোড়েন দেখব।,I will see the woof.,iɲ d̪ɔ bʰaɾna ɲɛla.
জাদুবিদ্যাটি ভালো।,The sorcery is good.,ban d̪ɔ mɔ̃ɟa.
নদীতে একটি তুরহী আছে।,There is a trumpet in the river.,gaɖaɾɛ bakea̯ menaa.
আমাদের বাঘ আনন্দের।,Our tiger is happy.,alɛaʔ t̪ɘɾup̚ʔ d̪ɔ ɾɘskɘa.
আত্মাটি ভালো।,The soul is good.,atma d̪ɔ mɔ̃ɟa.
আমাদের নদী ভালো।,Our river is good.,alɛaʔ gaɖa d̪ɔ mɔ̃ɟa.
আমার ভাগ্নে ভালো।,My nephew is good.,iɲaʔ bʰəgnə d̪ɔ mɔ̃ɟa.
সকালে তুমি ভাষা লিখে শহরে খেলবে।,"In the morning, you write the language and then play in the town.",sɛt̪aʔɾɛ am pɘɾsi ɔlɔʔkat̪ɛ sɔhɔɽɾɛ gat̪ea.
বাড়িতে একটি বিকল্প আছে।,There is a substitute in the house.,ɔɽaʔɾɛ bədli menaa.
পাড়াে একটি তরকারি আছে।,There is a vegetables in the neighbourhood.,aɖe paseɾɛ aɽak̕ sakam menaa.
তোমরা খাবার খেয়েছিলে।,You all ate the food.,apɛpɛ ɟɔmaʔ ɟɔmkeda.
"আমরা মাছ কিনব, কিন্তু ঔষধ কিনব না।","We will buy the fish, but do not buy the medicine.",alɛ d̪ɔ haku kiɾiɲa mɛnkʰan ɾan balɛ kiɾiɲa.
সে ঔষধ কিনেছে।,He/she has bought the medicine.,uni d̪ɔ ɾan kiɾiɲakada.
গতকাল তুমি ঘড়ি কিনে হ্রদে কাজ করবে।,"Yesterday, you buy the watch and then work in the lake.",hɔlaɾɛ am gʰuɽi kiɾiɲkat̪ɛ ɟɔlaɾɛ kɘmia.
বাসস্থানে একটি ঔষধ আছে।,There is a medicine in the residence.,basaɾɛ ɾan menaa.
সে বেল্টের ক্ল্যাপ ও রক্তমূত্র দেখবে।,He/she will see the belt clasp and the haematuria.,uni d̪ɔ bəkuk̕ aɾ aɾak̕ d͡ʒʰaɾ ɲɛla.
মাটি আনন্দের।,The mother is happy.,ajo d̪ɔ ɾɘskɘa.
আমরা রান্না খেয়েছিলাম।,We ate the cooked food.,alɛlɛ basaŋ ɟɔmkeda.
"তোমরা মাছ কিনবে, কিন্তু ঘড়ি কিনবে না।","You all will buy the fish, but do not buy the watch.",apɛ d̪ɔ haku kiɾiɲa mɛnkʰan gʰuɽi bapɛ kiɾiɲa.
সকালে তুমি মধু খেয়ে হ্রদে কাজ করবে।,"In the morning, you eat the honey and then work in the lake.",sɛt̪aʔɾɛ am ɲɛlɛɾasa ɟɔmkat̪ɛ ɟɔlaɾɛ kɘmia.
তোমরা মোবাইল ফোন ও খাবার কিনবে।,You all will buy the mobile phone and the food.,apɛ d̪ɔ mɔbaĭl pʰon aɾ ɟɔmaʔ kiɾiɲa.
আমি বিধাতা দেখেছি।,I have seen the providence.,iɲ d̪ɔ bʰidata ɲɛlakada.
উঠানে একটি মোবাইল ফোন আছে।,There is a mobile phone in the courtyard of house.,bəteɾɛ mɔbaĭl pʰon menaa.
তোমাদের নদী ভালো।,Your river is good.,apɛaʔ gaɖa d̪ɔ mɔ̃ɟa.
বাসস্থানে একটি রবিবার আছে।,There is a sunday in the dwelling place.,basɾɛ aʈʰawaɾ menaa.
একটি মধু নদীতে আছে।,One honey is in the river.,mit̪ʔ ɲɛlɛɾasa d̪ɔ gaɖaɾɛ menaa.
"আমি মাছ কিনব, কিন্তু ঔষধ কিনব না।","I will buy the fish, but do not buy the medicine.",iɲ d̪ɔ haku kiɾiɲa mɛnkʰan ɾan bɘɲ kiɾiɲa.
গতকাল সে দুধ পান করে হ্রদে খেলবে।,"Yesterday, he/she drink the milk and then play in the lake.",hɔlaɾɛ uni t̪o̯͡a ɲukat̪ɛ ɟɔlaɾɛ gat̪ea.
তারা অভ্র দেখবে।,They will see the mica.,oŋko d̪ɔ abɾak ɲɛla.
বিস্তীর্ণ ভূমিে একটি উৎপাদক আছে।,There is a producer in the wide expanse of land.,bilənɾɛ aɾd͡ʒoniə̯ menaa.
বাড়িটি গুরুত্বপূর্ণ।,The house is important.,ɔɽaʔ d̪ɔ ɟɘɾuɽa.
"আমরা শাল দেখব, কিন্তু গুড়গুড় শব্দ দেখব না।","We will see the shawl, but do not see the rumbling sound.",alɛ d̪ɔ bəɾki ɲɛla mɛnkʰan aʈap̕ uʈup̕ balɛ ɲɛla.
সেই সময় আমরা ভাষা পড়ে কুয়ায় কাজ করব।,"At that time, we study the language and then work in the well.",ɔkt̪ɛɾɛ alɛ pɘɾsi paɽha͡o̯kat̪ɛ kuɲɾɛ kɘmia.
ভূগোলটি ভালো।,The geography is good.,bʰugol d̪ɔ mɔ̃ɟa.
শহরটি নতুন।,The town is new.,sɔhɔɽ d̪ɔ nɔwaa.
স্কুলে একটি ছেলে আছে।,There is a boy in the school.,iskulɾɛ bəbu menaa.
সকালে তারা বধিরতা দেখে শহরে যাবে।,"In the morning, they see the deafness and then go to the town.",sɛt̪aʔɾɛ oŋko bəhiɾ bəi̯ ɲɛlkat̪ɛ sɔhɔɽɾɛ calaʔa.
বাসস্থানে একটি ভাষা আছে।,There is a language in the dwelling place.,basɾɛ bʰaka menaa.
আমরা কাপ ও স্বাস্থ্য দেখব।,We will see the cup and the health.,alɛ d̪ɔ basna aɾ bega d͡ʒudə ɲɛla.
গতকাল তুমি ভাষা লিখে স্কুলে কাজ করবে।,"Yesterday, you write the language and then work in the school.",hɔlaɾɛ am pɘɾsi ɔlɔʔkat̪ɛ iskulɾɛ kɘmia.
প্রাচুর্যটি পরিষ্কার।,The abundance is clean.,at͡ʃel pat͡ʃel d̪ɔ sapʰaa.
গতকাল সে ঘড়ি কিনে স্কুলে খেলবে।,"Yesterday, he/she buy the watch and then play in the school.",hɔlaɾɛ uni gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ gat̪ea.
আজ তারা ভাষা লিখে কুয়ায় খেলবে।,"Today, they write the language and then play in the well.",t̪eheɲɾɛ oŋko pɘɾsi ɔlɔʔkat̪ɛ kuɲɾɛ gat̪ea.
বিস্তীর্ণ ভূমিে একটি ঘড়ি আছে।,There is a watch in the wide expanse of land.,bilənɾɛ gʰuɽi menaa.
তার কথা ভালো।,His/her word is good.,uniaʔ kat̪ʰa d̪ɔ mɔ̃ɟa.
আমার বাবা আনন্দের।,My father is happy.,iɲaʔ baba d̪ɔ ɾɘskɘa.
সে ভাদ্র মাস ও আমড়া (ফল) দেখবে।,He/she will see the august-september and the hog plum.,uni d̪ɔ bʰadɔɾ aɾ bədʰiə̯ ɲɛla.
বিস্তীর্ণ ভূমিে একটি ভূত আছে।,There is an apparition in the wide expanse of land.,bilənɾɛ bʰeo̯na menaa.
উঠানে একটি সকাল আছে।,There is a morning in the courtyard of house.,bəteɾɛ ãɽgat menaa.
সে ঔষধ ও মোবাইল ফোন কিনবে।,He/she will buy the medicine and the mobile phone.,uni d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa.
একটি মোবাইল ফোন হ্রদে আছে।,One mobile phone is in the lake.,mit̪ʔ mɔbaĭl pʰon d̪ɔ ɟɔlaɾɛ menaa.
সে মাছ ও খাবার কিনবে।,He/she will buy the fish and the food.,uni d̪ɔ haku aɾ ɟɔmaʔ kiɾiɲa.
আমার গ্রাম পরিষ্কার।,My village is clean.,iɲaʔ at̪o d̪ɔ sapʰaa.
তুমি পশুর স্তন ও পরজীবী উদ্ভিদ দেখবে।,You will see the udder and the parasitic plant.,am d̪ɔ əɳɖwəɾ aɾ alagd͡ʒəɽi ɲɛla.
সকালে তোমরা গ্রাম দেখে নদীতে কাজ করবে।,"In the morning, you all see the village and then work in the river.",sɛt̪aʔɾɛ apɛ ato ɲɛlkat̪ɛ gaɖaɾɛ kɘmia.
তোমরা মাছ ও খাবার কিনবে।,You all will buy the fish and the food.,apɛ d̪ɔ haku aɾ ɟɔmaʔ kiɾiɲa.
তুমি ঔষধ কিনবে না।,You do not buy the medicine.,am d̪ɔ ɾan bam kiɾiɲa.
একটি বাবা নদীতে আছে।,One father is in the river.,mit̪ʔʈɛn baba d̪ɔ gaɖaɾɛ menaa.
আজ আমি খাবার কিনে হ্রদে খেলব।,"Today, I buy the food and then play in the lake.",t̪eheɲɾɛ iɲ ɟɔmaʔ kiɾiɲkat̪ɛ ɟɔlaɾɛ gat̪ea.
"তুমি ঘড়ি বিক্রি করবে, কিন্তু মাছ বিক্রি করবে না।","You will sell the watch, but do not sell the fish.",am d̪ɔ gʰuɽi ɘkʰɾiɲa mɛnkʰan haku bam ɘkʰɾiɲa.
তুলার গাছটি গুরুত্বপূর্ণ।,The cotton plant is important.,bʰoga kaskɔm d̪ɔ ɟɘɾuɽa.
স্কুলে একটি মানুষ আছে।,There is a person in the school.,iskulɾɛ hɔɽ menaa.
হ্রদ কোথায় আছে?,Where is the lake?,ɟɔla d̪ɔ ɔkaɾɛ menaa.
তার বিড়াল ছোট।,His/her cat is small.,uniaʔ pusi d̪ɔ lɘʈua.
হুকটি ভালো।,The hook is good.,əŋkus d̪ɔ mɔ̃ɟa.
