file,utterance_id,start_ms,end_ms,bangla,english,ipa_original,ipa_normalized,segments,glosses,notes
synthetic_school_dialogue_glossed.eaf,4219,9124773,9127485,[SYN.4219] গতকাল তারা কথা পড়ে শহরে যাবে।,"Yesterday, they study the word and then go to the town.",hɔlaɾɛ oŋko kat̪ʰa paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ calaʔa.,hɔla-ɾɛ oŋko kat̪ʰa paɽha͡o̯-kat̪ɛ sɔhɔɽ-ɾɛ calaʔ-a.,hɔla-ɾɛ | oŋko | kat̪ʰa | paɽha͡o̯-kat̪ɛ | sɔhɔɽ-ɾɛ | calaʔ-a,yesterday-LOC | 3PL.ANIM | word | study-CVB | town-LOC | go-FIN,
synthetic_new_glossed_3.eaf,4220,9127485,9129869,[SYN.4220] একটি পৈতৃক সম্পত্তি নদীতে আছে।,One patrimony is in the river.,mit̪ʔʈɛn bapɔɾi dʰɔn d̪ɔ gaɖaɾɛ menaa.,mit̪ʔ-ʈɛn bapɔɾi dʰɔn d̪ɔ gaɖa-ɾɛ mena-a.,mit̪ʔ-ʈɛn | bapɔɾi dʰɔn | d̪ɔ | gaɖa-ɾɛ | mena-a,one-CLF.HUM | patrimony | TOP | river-LOC | exist-FIN,
synthetic_texts_glossed.eaf,4221,9129869,9131706,[SYN.4221] বোঝাটি পরিষ্কার।,The load is clean.,bʰaɾ d̪ɔ sapʰaa.,bʰaɾ d̪ɔ sapʰa-a.,bʰaɾ | d̪ɔ | sapʰa-a,load | TOP | clean-FIN,
synthetic_paradigm_glossed.eaf,4222,9131706,9133684,[SYN.4222] তাদের অজ্ঞতা ভালো।,Their ignorance is good.,oŋkoaʔ bʰut͡ʃ d̪ɔ mɔ̃ɟa.,oŋko-aʔ bʰut͡ʃ d̪ɔ mɔ̃ɟ-a.,oŋko-aʔ | bʰut͡ʃ | d̪ɔ | mɔ̃ɟ-a,3PL-GEN | ignorance | TOP | good-FIN,
synthetic_school_dialogue_glossed.eaf,4223,9133684,9136488,[SYN.4223] আজ তারা মাছ খেয়ে কুয়ায় কাজ করবে।,"Today, they eat the fish and then work in the well.",t̪eheɲɾɛ oŋko haku ɟɔmkat̪ɛ kuɲɾɛ kɘmia.,t̪eheɲ-ɾɛ oŋko haku ɟɔm-kat̪ɛ kuɲ-ɾɛ kɘmi-a.,t̪eheɲ-ɾɛ | oŋko | haku | ɟɔm-kat̪ɛ | kuɲ-ɾɛ | kɘmi-a,today-LOC | 3PL.ANIM | fish | eat-CVB | well-LOC | work-FIN,
synthetic_school_dialogue_glossed.eaf,4224,9136488,9139126,[SYN.4224] আজ সে সিস্ট টিউমার দেখে কুয়ায় আসবে।,"Today, he/she see the cystic tumour and then come to the well.",t̪eheɲɾɛ uni batoɾi ɲɛlkat̪ɛ kuɲɾɛ hiɟuʔa.,t̪eheɲ-ɾɛ uni batoɾi ɲɛl-kat̪ɛ kuɲ-ɾɛ hiɟuʔ-a.,t̪eheɲ-ɾɛ | uni | batoɾi | ɲɛl-kat̪ɛ | kuɲ-ɾɛ | hiɟuʔ-a,today-LOC | 3SG.ANIM | cystic.tumour | see-CVB | well-LOC | come-FIN,
synthetic_dialogues_glossed.eaf,4225,9139126,9142542,"[SYN.4225] তারা বিদ্যুৎ দেখবে, কিন্তু কয়েকদিন দেখবে না।","They will see the lightning, but do not see the few days.",oŋko d̪ɔ bid͡ʒli ɲɛla mɛnkʰan əɾsiɲ bəɾsiɲ bako ɲɛla.,oŋko d̪ɔ bid͡ʒli ɲɛl-a mɛnkʰan əɾsiɲ bəɾsiɲ ba-ko ɲɛl-a.,oŋko | d̪ɔ | bid͡ʒli | ɲɛl-a | mɛnkʰan | əɾsiɲ bəɾsiɲ | ba-ko | ɲɛl-a,3PL.ANIM | TOP | lightning | see-FIN | but | few.days | NEG-3PL.ANIM | see-FIN,
synthetic_dialogues_glossed.eaf,4226,9142542,9145983,"[SYN.4226] আমরা ছবি পাব, কিন্তু টাকা পাব না।","We will get the photo, but do not get the money.",alɛ d̪ɔ pʰɔʈɔ ɲama mɛnkʰan ʈaka balɛ ɲama.,alɛ d̪ɔ pʰɔʈɔ ɲam-a mɛnkʰan ʈaka ba-lɛ ɲam-a.,alɛ | d̪ɔ | pʰɔʈɔ | ɲam-a | mɛnkʰan | ʈaka | ba-lɛ | ɲam-a,1PL.EXCL | TOP | photo | get-FIN | but | money | NEG-1PL.EXCL | get-FIN,
synthetic_see_paradigm.eaf,4227,9145983,9148463,[SYN.4227] তুমি মানুষ সাহায্য করবে না।,You do not help the person.,am d̪ɔ hɔɽ bam gɔɽɔa.,am d̪ɔ hɔɽ ba-m gɔɽɔ-a.,am | d̪ɔ | hɔɽ | ba-m | gɔɽɔ-a,2SG | TOP | person | NEG-2SG | help-FIN,
synthetic_new_glossed_3.eaf,4228,9148463,9150935,[SYN.4228] একটি বাসিন্দা বাড়িতে আছে।,One inhabitant is in the house.,mit̪ʔʈɛn baskitiə̯ d̪ɔ ɔɽaʔɾɛ menaa.,mit̪ʔ-ʈɛn baskitiə̯ d̪ɔ ɔɽaʔ-ɾɛ mena-a.,mit̪ʔ-ʈɛn | baskitiə̯ | d̪ɔ | ɔɽaʔ-ɾɛ | mena-a,one-CLF.HUM | inhabitant | TOP | house-LOC | exist-FIN,
synthetic_paradigm_glossed.eaf,4229,9150935,9152883,[SYN.4229] আমার ছবি নতুন।,My photo is new.,iɲaʔ pʰɔʈɔ d̪ɔ nɔwaa.,iɲ-aʔ pʰɔʈɔ d̪ɔ nɔwa-a.,iɲ-aʔ | pʰɔʈɔ | d̪ɔ | nɔwa-a,1SG-GEN | photo | TOP | new-FIN,
synthetic_texts_glossed.eaf,4230,9152883,9154534,[SYN.4230] নদীতে একটি বিস্তীর্ণ ভূমি আছে।,There is a wide expanse of land in the river.,gaɖaɾɛ bilən menaa.,gaɖa-ɾɛ bilən mena-a.,gaɖa-ɾɛ | bilən | mena-a,river-LOC | wide.expanse.of | exist-FIN,
synthetic_school_dialogue_glossed.eaf,4231,9154534,9157137,[SYN.4231] সেই সময় আমরা অবশিষ্ট দেখে বাড়িতে খেলব।,"At that time, we see the residue and then play in the house.",ɔkt̪ɛɾɛ alɛ bəɖɾə ɲɛlkat̪ɛ ɔɽaʔɾɛ gat̪ea.,ɔkt̪ɛ-ɾɛ alɛ bəɖɾə ɲɛl-kat̪ɛ ɔɽaʔ-ɾɛ gat̪e-a.,ɔkt̪ɛ-ɾɛ | alɛ | bəɖɾə | ɲɛl-kat̪ɛ | ɔɽaʔ-ɾɛ | gat̪e-a,time-LOC | 1PL.EXCL | residue | see-CVB | house-LOC | play-FIN,
synthetic_new_glossed.eaf,4232,9157137,9159065,[SYN.4232] আমি বিদ্যুৎ দেখেছি।,I have seen the lightning.,iɲ d̪ɔ bid͡ʒli ɲɛlakada.,iɲ d̪ɔ bid͡ʒli ɲɛl-akad-a.,iɲ | d̪ɔ | bid͡ʒli | ɲɛl-akad-a,1SG | TOP | lightning | see-PRF-FIN,
synthetic_texts_glossed.eaf,4233,9159065,9160761,[SYN.4233] আড়ালে একটি ব্রাহ্মণ আছে।,There is a brahman in the covert.,ao̯tanɾɛ babɾẽ menaa.,ao̯tan-ɾɛ babɾẽ mena-a.,ao̯tan-ɾɛ | babɾẽ | mena-a,covert-LOC | brahman | exist-FIN,
synthetic_paradigm_glossed.eaf,4234,9160761,9162942,[SYN.4234] তাদের অর্জন নতুন।,Their gain is new.,oŋkoaʔ ae̯ upəi̯ d̪ɔ nɔwaa.,oŋko-aʔ ae̯ upəi̯ d̪ɔ nɔwa-a.,oŋko-aʔ | ae̯ upəi̯ | d̪ɔ | nɔwa-a,3PL-GEN | gain | TOP | new-FIN,
synthetic_paradigm_glossed.eaf,4235,9162942,9164874,[SYN.4235] তার মহাপ্লাবন ভালো।,His/her deluge is good.,uniaʔ bajaban d̪ɔ mɔ̃ɟa.,uni-aʔ bajaban d̪ɔ mɔ̃ɟ-a.,uni-aʔ | bajaban | d̪ɔ | mɔ̃ɟ-a,3SG-GEN | deluge | TOP | good-FIN,
synthetic_texts_glossed.eaf,4236,9164874,9166554,[SYN.4236] ব্যাগটি নতুন।,The bag is new.,bɛg d̪ɔ nɔwaa.,bɛg d̪ɔ nɔwa-a.,bɛg | d̪ɔ | nɔwa-a,bag | TOP | new-FIN,
synthetic_texts_glossed.eaf,4237,9166554,9168179,[SYN.4237] উঠানে একটি পা আছে।,There is a foot in the courtyard of house.,bəteɾɛ kaʈa menaa.,bəte-ɾɛ kaʈa mena-a.,bəte-ɾɛ | kaʈa | mena-a,courtyard.of.house-LOC | foot | exist-FIN,
synthetic_dialogues_glossed.eaf,4238,9168179,9171817,"[SYN.4238] তোমরা ঝড়বৃষ্টি দেখবে, কিন্তু কৃষিজ উৎপাদন দেখবে না।","You all will see the storm of wind & rain, but do not see the agricultural produce.",apɛ d̪ɔ əndʰi dak̕ ɲɛla mɛnkʰan aɾd͡ʒon bapɛ ɲɛla.,apɛ d̪ɔ əndʰi dak̕ ɲɛl-a mɛnkʰan aɾd͡ʒon ba-pɛ ɲɛl-a.,apɛ | d̪ɔ | əndʰi dak̕ | ɲɛl-a | mɛnkʰan | aɾd͡ʒon | ba-pɛ | ɲɛl-a,2PL | TOP | storm.of.wind | see-FIN | but | agricultural.produce | NEG-2PL | see-FIN,
synthetic_school_dialogue_glossed.eaf,4239,9171817,9174512,[SYN.4239] সকালে তুমি ডায়াবেটিস দেখে গ্রামে খেলবে।,"In the morning, you see the diabetes and then play in the village.",sɛt̪aʔɾɛ am bəhumut ɲɛlkat̪ɛ at̪oɾɛ gat̪ea.,sɛt̪aʔ-ɾɛ am bəhumut ɲɛl-kat̪ɛ at̪o-ɾɛ gat̪e-a.,sɛt̪aʔ-ɾɛ | am | bəhumut | ɲɛl-kat̪ɛ | at̪o-ɾɛ | gat̪e-a,morning-LOC | 2SG | diabetes | see-CVB | village-LOC | play-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_school_dialogue_glossed.eaf,4240,9174512,9177354,[SYN.4240] আজ তোমরা পানি পান করে কুয়ায় যাবে।,"Today, you all drink the water and then go to the well.",t̪eheɲɾɛ apɛ d̪aʔ ɲukat̪ɛ kuɲɾɛ calaʔa.,t̪eheɲ-ɾɛ apɛ d̪aʔ ɲu-kat̪ɛ kuɲ-ɾɛ calaʔ-a.,t̪eheɲ-ɾɛ | apɛ | d̪aʔ | ɲu-kat̪ɛ | kuɲ-ɾɛ | calaʔ-a,today-LOC | 2PL | water | drink-CVB | well-LOC | go-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_school_dialogue_glossed.eaf,4241,9177354,9180074,[SYN.4241] আজ সে দুধ পান করে কুয়ায় যাবে।,"Today, he/she drink the milk and then go to the well.",t̪eheɲɾɛ uni t̪o̯͡a ɲukat̪ɛ kuɲɾɛ calaʔa.,t̪eheɲ-ɾɛ uni t̪o̯͡a ɲu-kat̪ɛ kuɲ-ɾɛ calaʔ-a.,t̪eheɲ-ɾɛ | uni | t̪o̯͡a | ɲu-kat̪ɛ | kuɲ-ɾɛ | calaʔ-a,today-LOC | 3SG.ANIM | milk | drink-CVB | well-LOC | go-FIN,
synthetic_bangla_glossed.eaf,4242,9180074,9183003,[SYN.4242] আমি রান্না ও মাছ খাব।,I will eat the cooked food and the fish.,iɲ d̪ɔ basaŋ aɾ haku ɟɔma.,iɲ d̪ɔ basaŋ aɾ haku ɟɔm-a.,iɲ | d̪ɔ | basaŋ | aɾ | haku | ɟɔm-a,1SG | TOP | cooked.food | and | fish | eat-FIN,
synthetic_texts_glossed.eaf,4243,9183003,9184715,[SYN.4243] আড়ালে একটি আদালত আছে।,There is a court in the covert.,ao̯tanɾɛ adalot menaa.,ao̯tan-ɾɛ adalot mena-a.,ao̯tan-ɾɛ | adalot | mena-a,covert-LOC | court | exist-FIN,
synthetic_see_paradigm.eaf,4244,9184715,9187222,[SYN.4244] তোমরা খাবার পাবে না।,You all do not get the food.,apɛ d̪ɔ ɟɔmaʔ bapɛ ɲama.,apɛ d̪ɔ ɟɔmaʔ ba-pɛ ɲam-a.,apɛ | d̪ɔ | ɟɔmaʔ | ba-pɛ | ɲam-a,2PL | TOP | food | NEG-2PL | get-FIN,
synthetic_paradigm_glossed.eaf,4245,9187222,9188830,[SYN.4245] তুমি খাবার বিক্রি করেছিলে।,You sold the food.,amɛm ɟɔmaʔ ɘkʰɾiɲkeda.,am-ɛm ɟɔmaʔ ɘkʰɾiɲ-ked-a.,am-ɛm | ɟɔmaʔ | ɘkʰɾiɲ-ked-a,2SG-2SG | food | sell-PST-FIN,
synthetic_school_dialogue_glossed.eaf,4246,9188830,9191551,[SYN.4246] গতকাল তুমি ভাষা লিখে গ্রামে যাবে।,"Yesterday, you write the language and then go to the village.",hɔlaɾɛ am pɘɾsi ɔlɔʔkat̪ɛ at̪oɾɛ calaʔa.,hɔla-ɾɛ am pɘɾsi ɔlɔʔ-kat̪ɛ at̪o-ɾɛ calaʔ-a.,hɔla-ɾɛ | am | pɘɾsi | ɔlɔʔ-kat̪ɛ | at̪o-ɾɛ | calaʔ-a,yesterday-LOC | 2SG | language | write-CVB | village-LOC | go-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_texts_glossed.eaf,4247,9191551,9193062,[SYN.4247] নবজাতকটি ভালো।,The infant is good.,balɛ d̪ɔ mɔ̃ɟa.,balɛ d̪ɔ mɔ̃ɟ-a.,balɛ | d̪ɔ | mɔ̃ɟ-a,infant | TOP | good-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_texts_glossed.eaf,4248,9193062,9194590,[SYN.4248] পবিত্র সিন্দুকটি ভালো।,The ark of the covenant is good.,ən sunduk d̪ɔ mɔ̃ɟa.,ən sunduk d̪ɔ mɔ̃ɟ-a.,ən sunduk | d̪ɔ | mɔ̃ɟ-a,ark.of.the | TOP | good-FIN,
synthetic_dialogues_glossed.eaf,4249,9194590,9198076,"[SYN.4249] আমি বাবা সাহায্য করব, কিন্তু মা সাহায্য করব না।","I will help the father, but do not help the mother.",iɲ d̪ɔ baba gɔɽɔa mɛnkʰan gɔgɔ bɘɲ gɔɽɔa.,iɲ d̪ɔ baba gɔɽɔ-a mɛnkʰan gɔgɔ bɘ-ɲ gɔɽɔ-a.,iɲ | d̪ɔ | baba | gɔɽɔ-a | mɛnkʰan | gɔgɔ | bɘ-ɲ | gɔɽɔ-a,1SG | TOP | father | help-FIN | but | mother | NEG-1SG | help-FIN,Synthetic contrast with mɛnkʰan 'but' and NEG marking.
synthetic_dialogues_glossed.eaf,4250,9198076,9201650,"[SYN.4250] সে কথা পড়বে, কিন্তু কথা পড়বে না।","He/she will study the word, but does not study the word.",uni d̪ɔ kat̪ʰa paɽha͡o̯a mɛnkʰan kat̪ʰa bai̯ paɽha͡o̯a.,uni d̪ɔ kat̪ʰa paɽha͡o̯-a mɛnkʰan kat̪ʰa ba-i̯ paɽha͡o̯-a.,uni | d̪ɔ | kat̪ʰa | paɽha͡o̯-a | mɛnkʰan | kat̪ʰa | ba-i̯ | paɽha͡o̯-a,3SG.ANIM | TOP | word | study-FIN | but | word | NEG-3SG.ANIM | study-FIN,
synthetic_dialogues_glossed.eaf,4251,9201650,9205092,"[SYN.4251] তারা পাঠ পড়বে, কিন্তু ভাষা পড়বে না।","They will study the lesson, but do not study the language.",oŋko d̪ɔ sikʰnɘt̪ paɽha͡o̯a mɛnkʰan pɘɾsi bako paɽha͡o̯a.,oŋko d̪ɔ sikʰnɘt̪ paɽha͡o̯-a mɛnkʰan pɘɾsi ba-ko paɽha͡o̯-a.,oŋko | d̪ɔ | sikʰnɘt̪ | paɽha͡o̯-a | mɛnkʰan | pɘɾsi | ba-ko | paɽha͡o̯-a,3PL.ANIM | TOP | lesson | study-FIN | but | language | NEG-3PL.ANIM | study-FIN,
synthetic_paradigm_glossed.eaf,4252,9205092,9206747,[SYN.4252] আমরা টাকা পেয়েছিলাম।,We got the money.,alɛlɛ ʈaka ɲamkeda.,alɛ-lɛ ʈaka ɲam-ked-a.,alɛ-lɛ | ʈaka | ɲam-ked-a,1PL.EXCL-1PL.EXCL | money | get-PST-FIN,Synthetic PST-FIN transitive pattern using dictionary/core lexicon.
synthetic_paradigm_glossed.eaf,4253,9206747,9208940,[SYN.4253] তোমাদের জীবন গুরুত্বপূর্ণ।,Your life is important.,apɛaʔ ɟiŋgi d̪ɔ ɟɘɾuɽa.,apɛ-aʔ ɟiŋgi d̪ɔ ɟɘɾuɽ-a.,apɛ-aʔ | ɟiŋgi | d̪ɔ | ɟɘɾuɽ-a,2PL-GEN | life | TOP | important-FIN,
synthetic_school_dialogue_glossed.eaf,4254,9208940,9211759,[SYN.4254] সেই সময় তুমি মধু খেয়ে শহরে কাজ করবে।,"At that time, you eat the honey and then work in the town.",ɔkt̪ɛɾɛ am ɲɛlɛɾasa ɟɔmkat̪ɛ sɔhɔɽɾɛ kɘmia.,ɔkt̪ɛ-ɾɛ am ɲɛlɛɾasa ɟɔm-kat̪ɛ sɔhɔɽ-ɾɛ kɘmi-a.,ɔkt̪ɛ-ɾɛ | am | ɲɛlɛɾasa | ɟɔm-kat̪ɛ | sɔhɔɽ-ɾɛ | kɘmi-a,time-LOC | 2SG | honey | eat-CVB | town-LOC | work-FIN,
synthetic_new_glossed_3.eaf,4255,9211759,9214219,[SYN.4255] একটি রান্না বাড়িতে আছে।,One cooked food is in the house.,mit̪ʔ basaŋ d̪ɔ ɔɽaʔɾɛ menaa.,mit̪ʔ basaŋ d̪ɔ ɔɽaʔ-ɾɛ mena-a.,mit̪ʔ | basaŋ | d̪ɔ | ɔɽaʔ-ɾɛ | mena-a,one | cooked.food | TOP | house-LOC | exist-FIN,
synthetic_texts_glossed.eaf,4256,9214219,9215758,[SYN.4256] বিস্তীর্ণ ভূমিে একটি কাজ আছে।,There is a work in the wide expanse of land.,bilənɾɛ kɘmi menaa.,bilən-ɾɛ kɘmi mena-a.,bilən-ɾɛ | kɘmi | mena-a,wide.expanse.of-LOC | work | exist-FIN,
synthetic_texts_glossed.eaf,4257,9215758,9217534,[SYN.4257] কুয়ায় একটি তরকারি আছে।,There is a vegetables in the well.,kuɲɾɛ aɽak̕ sakam menaa.,kuɲ-ɾɛ aɽak̕ sakam mena-a.,kuɲ-ɾɛ | aɽak̕ sakam | mena-a,well-LOC | vegetables | exist-FIN,
synthetic_paradigm_glossed.eaf,4258,9217534,9219533,[SYN.4258] তোমার পবিত্র সিন্দুক ভালো।,Your ark of the covenant is good.,amaʔ ən sunduk d̪ɔ mɔ̃ɟa.,am-aʔ ən sunduk d̪ɔ mɔ̃ɟ-a.,am-aʔ | ən sunduk | d̪ɔ | mɔ̃ɟ-a,2SG-GEN | ark.of.the | TOP | good-FIN,
synthetic_school_dialogue_glossed.eaf,4259,9219533,9222282,[SYN.4259] সেই সময় আমরা কথা লিখে স্কুলে খেলব।,"At that time, we write the word and then play in the school.",ɔkt̪ɛɾɛ alɛ kat̪ʰa ɔlɔʔkat̪ɛ iskulɾɛ gat̪ea.,ɔkt̪ɛ-ɾɛ alɛ kat̪ʰa ɔlɔʔ-kat̪ɛ iskul-ɾɛ gat̪e-a.,ɔkt̪ɛ-ɾɛ | alɛ | kat̪ʰa | ɔlɔʔ-kat̪ɛ | iskul-ɾɛ | gat̪e-a,time-LOC | 1PL.EXCL | word | write-CVB | school-LOC | play-FIN,
synthetic_texts_glossed.eaf,4260,9222282,9224096,[SYN.4260] আশ্বিন মাসটি পরিষ্কার।,The september–october is clean.,asin d̪ɔ sapʰaa.,asin d̪ɔ sapʰa-a.,asin | d̪ɔ | sapʰa-a,september.october | TOP | clean-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_texts_glossed.eaf,4261,9224096,9225862,[SYN.4261] ইংল্যান্ডে একটি বাজার আছে।,There is a bazaar in the england.,bilətɾɛ bad͡ʒaɾ menaa.,bilət-ɾɛ bad͡ʒaɾ mena-a.,bilət-ɾɛ | bad͡ʒaɾ | mena-a,england-LOC | bazaar | exist-FIN,
synthetic_school_dialogue_glossed.eaf,4262,9225862,9228648,[SYN.4262] গতকাল সে পাঠ পড়ে হ্রদে আসবে।,"Yesterday, he/she study the lesson and then come to the lake.",hɔlaɾɛ uni sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɟɔlaɾɛ hiɟuʔa.,hɔla-ɾɛ uni sikʰnɘt̪ paɽha͡o̯-kat̪ɛ ɟɔla-ɾɛ hiɟuʔ-a.,hɔla-ɾɛ | uni | sikʰnɘt̪ | paɽha͡o̯-kat̪ɛ | ɟɔla-ɾɛ | hiɟuʔ-a,yesterday-LOC | 3SG.ANIM | lesson | study-CVB | lake-LOC | come-FIN,
synthetic_texts_glossed.eaf,4263,9228648,9230188,[SYN.4263] স্কুলে একটি ভবিষ্যৎ আছে।,There is a future in the school.,iskulɾɛ agam menaa.,iskul-ɾɛ agam mena-a.,iskul-ɾɛ | agam | mena-a,school-LOC | future | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_dialogues_glossed.eaf,4264,9230188,9233543,"[SYN.4264] আমি মাছ বিক্রি করব, কিন্তু ঘড়ি বিক্রি করব না।","I will sell the fish, but do not sell the watch.",iɲ d̪ɔ haku ɘkʰɾiɲa mɛnkʰan gʰuɽi bɘɲ ɘkʰɾiɲa.,iɲ d̪ɔ haku ɘkʰɾiɲ-a mɛnkʰan gʰuɽi bɘ-ɲ ɘkʰɾiɲ-a.,iɲ | d̪ɔ | haku | ɘkʰɾiɲ-a | mɛnkʰan | gʰuɽi | bɘ-ɲ | ɘkʰɾiɲ-a,1SG | TOP | fish | sell-FIN | but | watch | NEG-1SG | sell-FIN,
synthetic_see_paradigm.eaf,4265,9233543,9236001,[SYN.4265] তোমরা বৈশাখ মাস দেখবে না।,You all do not see the april-may.,apɛ d̪ɔ bəi̯sək bapɛ ɲɛla.,apɛ d̪ɔ bəi̯sək ba-pɛ ɲɛl-a.,apɛ | d̪ɔ | bəi̯sək | ba-pɛ | ɲɛl-a,2PL | TOP | april.may | NEG-2PL | see-FIN,
synthetic_texts_glossed.eaf,4266,9236001,9237759,[SYN.4266] নিকটবর্তী এলাকাে একটি গান আছে।,There is a song in the vicinity.,aɖe ʈolaɾɛ seɾeɲ menaa.,aɖe ʈola-ɾɛ seɾeɲ mena-a.,aɖe ʈola-ɾɛ | seɾeɲ | mena-a,vicinity-LOC | song | exist-FIN,
synthetic_texts_glossed.eaf,4267,9237759,9239405,[SYN.4267] নদীতে একটি ফকির আছে।,There is a fakeer in the river.,gaɖaɾɛ babad͡ʒi menaa.,gaɖa-ɾɛ babad͡ʒi mena-a.,gaɖa-ɾɛ | babad͡ʒi | mena-a,river-LOC | fakeer | exist-FIN,
synthetic_texts_glossed.eaf,4268,9239405,9241179,[SYN.4268] গুহাে একটি ফকির আছে।,There is a fakeer in the cave.,bʰugək̕ɾɛ babad͡ʒi menaa.,bʰugək̕-ɾɛ babad͡ʒi mena-a.,bʰugək̕-ɾɛ | babad͡ʒi | mena-a,cave-LOC | fakeer | exist-FIN,
synthetic_texts_glossed.eaf,4269,9241179,9242727,[SYN.4269] সূর্যটি গুরুত্বপূর্ণ।,The sun is important.,bela d̪ɔ ɟɘɾuɽa.,bela d̪ɔ ɟɘɾuɽ-a.,bela | d̪ɔ | ɟɘɾuɽ-a,sun | TOP | important-FIN,
synthetic_see_paradigm.eaf,4270,9242727,9245023,[SYN.4270] তুমি গাঁট দেখবে না।,You do not see the bale.,am d̪ɔ bʰiɳɖ bam ɲɛla.,am d̪ɔ bʰiɳɖ ba-m ɲɛl-a.,am | d̪ɔ | bʰiɳɖ | ba-m | ɲɛl-a,2SG | TOP | bale | NEG-2SG | see-FIN,
synthetic_paradigm_glossed.eaf,4271,9245023,9247084,[SYN.4271] আমার হ্রদ ভালো।,My lake is good.,iɲaʔ ɟɔla d̪ɔ mɔ̃ɟa.,iɲ-aʔ ɟɔla d̪ɔ mɔ̃ɟ-a.,iɲ-aʔ | ɟɔla | d̪ɔ | mɔ̃ɟ-a,1SG-GEN | lake | TOP | good-FIN,
synthetic_bangla_glossed.eaf,4272,9247084,9249726,[SYN.4272] তারা গুজব ও কাজ দেখবে।,They will see the rumour and the occupation.,oŋko d̪ɔ bʰakaɾa aɾ bʰɛd ɲɛla.,oŋko d̪ɔ bʰakaɾa aɾ bʰɛd ɲɛl-a.,oŋko | d̪ɔ | bʰakaɾa | aɾ | bʰɛd | ɲɛl-a,3PL.ANIM | TOP | rumour | and | occupation | see-FIN,
synthetic_paradigm_glossed.eaf,4273,9249726,9251679,[SYN.4273] আমাদের ঝড়বৃষ্টি পরিষ্কার।,Our storm of wind & rain is clean.,alɛaʔ əndʰi dak̕ d̪ɔ sapʰaa.,alɛ-aʔ əndʰi dak̕ d̪ɔ sapʰa-a.,alɛ-aʔ | əndʰi dak̕ | d̪ɔ | sapʰa-a,1PL.EXCL-GEN | storm.of.wind | TOP | clean-FIN,
synthetic_school_dialogue_glossed.eaf,4274,9251679,9254605,[SYN.4274] আজ আমরা দুধ পান করে কুয়ায় যাব।,"Today, we drink the milk and then go to the well.",t̪eheɲɾɛ alɛ t̪o̯͡a ɲukat̪ɛ kuɲɾɛ calaʔa.,t̪eheɲ-ɾɛ alɛ t̪o̯͡a ɲu-kat̪ɛ kuɲ-ɾɛ calaʔ-a.,t̪eheɲ-ɾɛ | alɛ | t̪o̯͡a | ɲu-kat̪ɛ | kuɲ-ɾɛ | calaʔ-a,today-LOC | 1PL.EXCL | milk | drink-CVB | well-LOC | go-FIN,
synthetic_see_paradigm.eaf,4275,9254605,9257075,[SYN.4275] তারা গোখরো সাপ দেখবে না।,They do not see the cobra.,oŋko d̪ɔ ajaŋ bin bako ɲɛla.,oŋko d̪ɔ ajaŋ bin ba-ko ɲɛl-a.,oŋko | d̪ɔ | ajaŋ bin | ba-ko | ɲɛl-a,3PL.ANIM | TOP | cobra | NEG-3PL.ANIM | see-FIN,
synthetic_texts_glossed.eaf,4276,9257075,9258765,[SYN.4276] নিকটবর্তী এলাকাে একটি বালতি আছে।,There is a bucket in the vicinity.,aɖe ʈolaɾɛ bəlʈi menaa.,aɖe ʈola-ɾɛ bəlʈi mena-a.,aɖe ʈola-ɾɛ | bəlʈi | mena-a,vicinity-LOC | bucket | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_bangla_glossed.eaf,4277,9258765,9261506,[SYN.4277] সে নিরামিষাশী ও সমস্যা দেখবে।,He/she will see the vegetarian and the trouble.,uni d̪ɔ bʰagat aɾ ad͡ʒaɾ ɲɛla.,uni d̪ɔ bʰagat aɾ ad͡ʒaɾ ɲɛl-a.,uni | d̪ɔ | bʰagat | aɾ | ad͡ʒaɾ | ɲɛl-a,3SG.ANIM | TOP | vegetarian | and | trouble | see-FIN,Synthetic coordination with aɾ 'and'.
synthetic_paradigm_glossed.eaf,4278,9261506,9263564,[SYN.4278] তাদের শ্রাইক পাখি ভালো।,Their shrike is good.,oŋkoaʔ bagʰa kɛɾkeʈa d̪ɔ mɔ̃ɟa.,oŋko-aʔ bagʰa kɛɾkeʈa d̪ɔ mɔ̃ɟ-a.,oŋko-aʔ | bagʰa kɛɾkeʈa | d̪ɔ | mɔ̃ɟ-a,3PL-GEN | shrike | TOP | good-FIN,
