bangla,english,santali
আত্মীয়টি পরিষ্কার।,The kindred is clean.,əpus d̪ɔ sapʰaa.
কুয়ায় একটি বাঁধ আছে।,There is an embankment in the well.,kuɲɾɛ band menaa.
আজ তোমরা পাঠ পড়ে শহরে আসবে।,"Today, you all study the lesson and then come to the town.",t̪eheɲɾɛ apɛ sikʰnɘt̪ paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ hiɟuʔa.
তোমরা হাত দেখেছিলে।,You all saw the hand.,apɛpɛ t̪i ɲɛlkeda.
শহরে একটি দুধ আছে।,There is a milk in the town.,sɔhɔɽɾɛ t̪o̯͡a menaa.
আমরা ঘড়ি কিনব।,We will buy the watch.,alɛ d̪ɔ gʰuɽi kiɾiɲa.
আমি পা দেখব না।,I do not see the foot.,iɲ d̪ɔ kaʈa bɘɲ ɲɛla.
গুহাে একটি শত্রু আছে।,There is an enemy in the cave.,bʰugək̕ɾɛ bəi̯ɾi menaa.
ফ্যাথমটি গুরুত্বপূর্ণ।,The fathom is important.,aɾpa d̪ɔ ɟɘɾuɽa.
তাদের ব্রাহ্মণ পরিষ্কার।,Their brahman is clean.,oŋkoaʔ babɾẽ d̪ɔ sapʰaa.
সে কথা পড়বে।,He/she will study the word.,uni d̪ɔ kat̪ʰa paɽha͡o̯a.
নদীতে একটি কথা আছে।,There is a word in the river.,gaɖaɾɛ kat̪ʰa menaa.
সকালে আমরা পানি পান করে কুয়ায় খেলব।,"In the morning, we drink the water and then play in the well.",sɛt̪aʔɾɛ alɛ d̪aʔ ɲukat̪ɛ kuɲɾɛ gat̪ea.
সকালে তারা ভাষা লিখে নদীতে খেলবে।,"In the morning, they write the language and then play in the river.",sɛt̪aʔɾɛ oŋko pɘɾsi ɔlɔʔkat̪ɛ gaɖaɾɛ gat̪ea.
তুমি কাজ করছ।,You is working.,amɛm kɘmiɛd̪a.
প্রণয়নটি ভালো।,The enactment is good.,ən d̪ɔ mɔ̃ɟa.
তারা এক ধরনের বাদ্যযন্ত্র ও মুক্তি দেখবে।,They will see the a kind of fiddle and the salvation.,oŋko d̪ɔ banam aɾ baɲt͡ʃao̯k̕ ɲɛla.
একটি বামন বাড়িতে আছে।,One dwarf is in the house.,mit̪ʔʈɛn bãoɽã d̪ɔ ɔɽaʔɾɛ menaa.
আজ সে পানি পান করে গ্রামে কাজ করবে।,"Today, he/she drink the water and then work in the village.",t̪eheɲɾɛ uni d̪aʔ ɲukat̪ɛ at̪oɾɛ kɘmia.
"আমরা মানুষ সাহায্য করব, কিন্তু বাবা সাহায্য করব না।","We will help the person, but do not help the father.",alɛ d̪ɔ hɔɽ gɔɽɔa mɛnkʰan baba balɛ gɔɽɔa.
বিস্তীর্ণ ভূমিে একটি আতশবাজি আছে।,There is a fireworks in the wide expanse of land.,bilənɾɛ bʰui̯t͡ʃampa menaa.
আমি এখন কী করবে?,What will I do now?,nit̪ʔ cɛʔiɲ ceka ja.
সকালে আমরা মোবাইল ফোন কিনে কুয়ায় কাজ করব।,"In the morning, we buy the mobile phone and then work in the well.",sɛt̪aʔɾɛ alɛ mɔbaĭl pʰon kiɾiɲkat̪ɛ kuɲɾɛ kɘmia.
আমার কুয়া গুরুত্বপূর্ণ।,My well is important.,iɲaʔ kuɲ d̪ɔ ɟɘɾuɽa.
"আমি মা সাহায্য করব, কিন্তু মা সাহায্য করব না।","I will help the mother, but do not help the mother.",iɲ d̪ɔ gɔgɔ gɔɽɔa mɛnkʰan gɔgɔ bɘɲ gɔɽɔa.
ডাক্তারটি ভালো।,The doctor is good.,ɖak̚t̪aɾ d̪ɔ mɔ̃ɟa.
বাসস্থানে একটি কুয়া আছে।,There is a well in the residence.,basaɾɛ kuɲ menaa.
তোমার শিশু ভালো।,Your child is good.,amaʔ gid̪ɾɘ d̪ɔ mɔ̃ɟa.
আমরা খেলছি।,We are playing.,alɛlɛ gat̪eɛd̪a.
সে ভাষা বলবে।,He/she will speak the language.,uni d̪ɔ pɘɾsi ɾɔɽa.
তারা খাবার পেয়েছিল।,They got the food.,oŋkoko ɟɔmaʔ ɲamkeda.
সে টাকা পাবে।,He/she will get the money.,uni d̪ɔ ʈaka ɲama.
হ্রদে একটি মানুষ আছে।,There is a person in the lake.,ɟɔlaɾɛ hɔɽ menaa.
তোমরা মানুষ সাহায্য করবে না।,You all do not help the person.,apɛ d̪ɔ hɔɽ bapɛ gɔɽɔa.
আমি খেলছি।,I am playing.,iɲiɲ gat̪eɛd̪a.
আমরা খাবার পেয়েছি।,We have gotten the food.,alɛ d̪ɔ ɟɔmaʔ ɲamakada.
"তারা খাবার পাবে, কিন্তু টাকা পাবে না।","They will get the food, but do not get the money.",oŋko d̪ɔ ɟɔmaʔ ɲama mɛnkʰan ʈaka bako ɲama.
উঠানে একটি অশান্তি আছে।,There is an unrest in the courtyard of house.,bəteɾɛ bɛtʰiɾ menaa.
সে দুধ ও পানি পান করবে।,He/she will drink the milk and the water.,uni d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua.
কুয়ায় একটি অর্জন আছে।,There is a gain in the well.,kuɲɾɛ ae̯ upəi̯ menaa.
সে কথা বলেছিল।,He/she spoke the word.,unii̯ kat̪ʰa ɾɔɽkeda.
"আমরা বেশ্যা দেখব, কিন্তু নেতিবাচক দেখব না।","We will see the harlot, but do not see the negative.",alɛ d̪ɔ bət͡ʃkəɾ ɲɛla mɛnkʰan baŋ balɛ ɲɛla.
আমার বাবা ভালো।,My father is good.,iɲaʔ baba d̪ɔ mɔ̃ɟa.
তুমি মা সাহায্য করবে না।,You do not help the mother.,am d̪ɔ gɔgɔ bam gɔɽɔa.
আজ তোমরা খাবার কিনে নদীতে খেলবে।,"Today, you all buy the food and then play in the river.",t̪eheɲɾɛ apɛ ɟɔmaʔ kiɾiɲkat̪ɛ gaɖaɾɛ gat̪ea.
দয়া করে দুধ পান করো।,Please drink the milk.,d̪a.ja kat̪ɛ t̪o̯͡a ɲumɛ.
আমরা আসছি।,We are coming.,alɛlɛ hiɟuʔɛd̪a.
নিকটবর্তী এলাকাে একটি অবশিষ্ট আছে।,There is a residue in the vicinity.,aɖe ʈolaɾɛ bəɖɾə menaa.
স্কুলে একটি ভাই আছে।,There is a brother in the school.,iskulɾɛ baɾet menaa.
আমি খিঁচুনি দেখব।,I will see the convulsions.,iɲ d̪ɔ ḅahiɾ bəi̯ ɲɛla.
তারা পাঠ পড়বে না।,They do not study the lesson.,oŋko d̪ɔ sikʰnɘt̪ bako paɽha͡o̯a.
তুমি মোবাইল ফোন বিক্রি করবে না।,You do not sell the mobile phone.,am d̪ɔ mɔbaĭl pʰon bam ɘkʰɾiɲa.
বাবাটি ছোট।,The father is small.,baba d̪ɔ lɘʈua.
আমি কাজ করছি।,I am working.,iɲiɲ kɘmiɛd̪a.
তোমরা অতিরিক্ত খাজনা দেখবে।,You all will see the additional assessment on rent.,apɛ d̪ɔ bʰed͡ʒa ɲɛla.
স্কুলটি গুরুত্বপূর্ণ।,The school is important.,iskul d̪ɔ ɟɘɾuɽa.
তাদের শহর নতুন।,Their town is new.,oŋkoaʔ sɔhɔɽ d̪ɔ nɔwaa.
পৈতৃক সম্পত্তিটি ভালো।,The paternal estate is good.,bapɔti dʰo d̪ɔ mɔ̃ɟa.
"আমি ঝুড়ি দেখব, কিন্তু দেওয়াল দেখব না।","I will see the basket, but do not see the wall.",iɲ d̪ɔ bʰad͡ʒan ɲɛla mɛnkʰan bʰit bɘɲ ɲɛla.
দয়া করে নদীতে বসো।,Please sit in the river.,d̪a.ja kat̪ɛ gaɖaɾɛ d̪uɽup̚ʔmɛ.
বামনটি ভালো।,The dwarf is good.,bãoɽã d̪ɔ mɔ̃ɟa.
গতকাল তোমরা দুধ পান করে হ্রদে কাজ করবে।,"Yesterday, you all drink the milk and then work in the lake.",hɔlaɾɛ apɛ t̪o̯͡a ɲukat̪ɛ ɟɔlaɾɛ kɘmia.
ফকিরটি পরিষ্কার।,The fakeer is clean.,babad͡ʒi d̪ɔ sapʰaa.
বাসস্থানে একটি উৎসব আছে।,There is a festival in the dwelling place.,basɾɛ pɔɾɔb menaa.
তার দাম পরিষ্কার।,His/her price is clean.,uniaʔ bʰao̯ d̪ɔ sapʰaa.
তার পা ভালো।,His/her leg is good.,uniaʔ ɟaŋga d̪ɔ mɔ̃ɟa.
তোমার রান্না পরিষ্কার।,Your cooked food is clean.,amaʔ basaŋ d̪ɔ sapʰaa.
তোমার দেওয়াল নতুন।,Your wall is new.,amaʔ bʰit d̪ɔ nɔwaa.
জাফরিটি গুরুত্বপূর্ণ।,The lattice work is important.,bata d̪ɔ ɟɘɾuɽa.
তারা পবিত্র সিন্দুক দেখেছে।,They have seen the ark of the covenant.,oŋko d̪ɔ ən sunduk ɲɛlakada.
তারা ভাষা বলবে না।,They do not speak the language.,oŋko d̪ɔ pɘɾsi bako ɾɔɽa.
তুমি খাবার খেয়েছ।,You have eaten the food.,am d̪ɔ ɟɔmaʔ ɟɔmakada.
তারা রান্না খেয়েছে।,They have eaten the cooked food.,oŋko d̪ɔ basaŋ ɟɔmakada.
পাটি ভালো।,The leg is good.,ɟaŋga d̪ɔ mɔ̃ɟa.
একটি মাছ হ্রদে আছে।,One fish is in the lake.,mit̪ʔ haku d̪ɔ ɟɔlaɾɛ menaa.
তুমি মারা যাচ্ছ।,You is dying.,amɛm gɔc̚ʔɛd̪a.
দয়া করে পানি পান করো।,Please drink the water.,d̪a.ja kat̪ɛ d̪aʔ ɲumɛ.
গুহাে একটি জীবন আছে।,There is a life in the cave.,bʰugək̕ɾɛ ɟiŋgi menaa.
তারা মা সাহায্য করেছে।,They have helped the mother.,oŋko d̪ɔ gɔgɔ gɔɽɔakada.
দয়া করে বাড়িতে যাও।,Please go to the house.,d̪a.ja kat̪ɛ ɔɽaʔɾɛ calaʔmɛ.
পাল (নৌকার)টি পরিষ্কার।,The sail is clean.,baɖɔm d̪ɔ sapʰaa.
আমি ভাষা পড়েছি।,I have studied the language.,iɲ d̪ɔ pɘɾsi paɽha͡o̯akada.
তারা ভাষা বলবে।,They will speak the language.,oŋko d̪ɔ pɘɾsi ɾɔɽa.
"তুমি খাবার পাবে, কিন্তু ছবি পাবে না।","You will get the food, but do not get the photo.",am d̪ɔ ɟɔmaʔ ɲama mɛnkʰan pʰɔʈɔ bam ɲama.
তারা মারা যাচ্ছে।,They are dying.,oŋkoko gɔc̚ʔɛd̪a.
আমি খাবার বিক্রি করব না।,I do not sell the food.,iɲ d̪ɔ ɟɔmaʔ bɘɲ ɘkʰɾiɲa.
একটি ভাগ্নী হ্রদে আছে।,One niece is in the lake.,mit̪ʔʈɛn bʰət͡ʃə d̪ɔ ɟɔlaɾɛ menaa.
একটি উত্তরাধিকার শহরে আছে।,One heritage is in the town.,mit̪ʔʈɛn bapɔti dʰɔn d̪ɔ sɔhɔɽɾɛ menaa.
তোমরা কথা বলবে।,You all will speak the word.,apɛ d̪ɔ kat̪ʰa ɾɔɽa.
তুমি দুধ পান করবে না।,You do not drink the milk.,am d̪ɔ t̪o̯͡a bam ɲua.
আমরা কেমন আছে?,How are we?,cɛt̪ʔlɛka menlɛa.
আমার ঔষধ নতুন।,My medicine is new.,iɲaʔ ɾan d̪ɔ nɔwaa.
নদীতে একটি সময় আছে।,There is a time in the river.,gaɖaɾɛ ɔkt̪ɛ menaa.
আমি দুধ পান করেছি।,I have drunk the milk.,iɲ d̪ɔ t̪o̯͡a ɲuakada.
শহরে একটি আদালত আছে।,There is a court in the town.,sɔhɔɽɾɛ adalot menaa.
আমরা ডাক্তার সাহায্য করব না।,We do not help the doctor.,alɛ d̪ɔ ɖak̚t̪aɾ balɛ gɔɽɔa.
"আমি ভাষা বলব, কিন্তু ভাষা বলব না।","I will speak the language, but do not speak the language.",iɲ d̪ɔ pɘɾsi ɾɔɽa mɛnkʰan pɘɾsi bɘɲ ɾɔɽa.
একটি উত্তরাধিকার বাড়িতে আছে।,One heritage is in the house.,mit̪ʔʈɛn bapɔti dʰɔn d̪ɔ ɔɽaʔɾɛ menaa.
"সে ভাষা লিখবে, কিন্তু ভাষা লিখবে না।","He/she will write the language, but does not write the language.",uni d̪ɔ pɘɾsi ɔlɔʔa mɛnkʰan pɘɾsi bai̯ ɔlɔʔa.
তাদের মা আনন্দের।,Their mother is happy.,oŋkoaʔ gɔgɔ d̪ɔ ɾɘskɘa.
তারা পানি পান করবে।,They will drink the water.,oŋko d̪ɔ d̪aʔ ɲua.
ইংল্যান্ডে একটি খাবারের অবশিষ্ট আছে।,There is a leftover food in the england.,bilətɾɛ əi̯ʈʰə menaa.
তুমি কথা পড়েছিলে।,You studied the word.,amɛm kat̪ʰa paɽha͡o̯keda.
তোমরা খাবার পাবে।,You all will get the food.,apɛ d̪ɔ ɟɔmaʔ ɲama.
সেই সময় আমরা অনুরোধ দেখে স্কুলে কাজ করব।,"At that time, we see the request and then work in the school.",ɔkt̪ɛɾɛ alɛ aɾd͡ʒa əɾd͡ʒi ɲɛlkat̪ɛ iskulɾɛ kɘmia.
সে কথা বলবে।,He/she will speak the word.,uni d̪ɔ kat̪ʰa ɾɔɽa.
আমার গ্রাম ভালো।,My village is good.,iɲaʔ at̪o d̪ɔ mɔ̃ɟa.
গতকাল আমরা মধু খেয়ে বাড়িতে কাজ করব।,"Yesterday, we eat the honey and then work in the house.",hɔlaɾɛ alɛ ɲɛlɛɾasa ɟɔmkat̪ɛ ɔɽaʔɾɛ kɘmia.
আমরা খাবার বিক্রি করেছিলাম।,We sold the food.,alɛlɛ ɟɔmaʔ ɘkʰɾiɲkeda.
হ্রদটি গুরুত্বপূর্ণ।,The lake is important.,ɟɔla d̪ɔ ɟɘɾuɽa.
আমি আদিবাসী দেখব না।,I do not see the aborigines.,iɲ d̪ɔ bəu̯ɾi bɘɲ ɲɛla.
আমার পানি পরিষ্কার।,My water is clean.,iɲaʔ d̪aʔ d̪ɔ sapʰaa.
তার স্ত্রী আনন্দের।,His/her wife is happy.,uniaʔ bəhu d̪ɔ ɾɘskɘa.
"আমরা ভাষা বলব, কিন্তু ভাষা বলব না।","We will speak the language, but do not speak the language.",alɛ d̪ɔ pɘɾsi ɾɔɽa mɛnkʰan pɘɾsi balɛ ɾɔɽa.
তুমি ভাষা লিখেছিলে।,You wrote the language.,amɛm pɘɾsi ɔlɔʔkeda.
তুমি মাছ কিনবে না।,You do not buy the fish.,am d̪ɔ haku bam kiɾiɲa.
আজ তারা মোবাইল ফোন কিনে স্কুলে আসবে।,"Today, they buy the mobile phone and then come to the school.",t̪eheɲɾɛ oŋko mɔbaĭl pʰon kiɾiɲkat̪ɛ iskulɾɛ hiɟuʔa.
সে মাছ খাবে না।,He/she does not eat the fish.,uni d̪ɔ haku bai̯ ɟɔma.
আমাদের টাকা নতুন।,Our money is new.,alɛaʔ ʈaka d̪ɔ nɔwaa.
তাদের ঘড়ি গুরুত্বপূর্ণ।,Their watch is important.,oŋkoaʔ gʰuɽi d̪ɔ ɟɘɾuɽa.
হ্রদে একটি কুমড়ো আছে।,There is a pumpkin in the lake.,ɟɔlaɾɛ bə̃ɽĩə kohɳɖa menaa.
সেই সময় আমরা ভাষা লিখে শহরে আসব।,"At that time, we write the language and then come to the town.",ɔkt̪ɛɾɛ alɛ pɘɾsi ɔlɔʔkat̪ɛ sɔhɔɽɾɛ hiɟuʔa.
সে খেলছে।,He/she is playing.,unii̯ gat̪eɛd̪a.
তারা মানুষ সাহায্য করবে না।,They do not help the person.,oŋko d̪ɔ hɔɽ bako gɔɽɔa.
"আমরা খাবার বিক্রি করব, কিন্তু ঘড়ি বিক্রি করব না।","We will sell the food, but do not sell the watch.",alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲa mɛnkʰan gʰuɽi balɛ ɘkʰɾiɲa.
আমি লক্ষ্যবস্তু দেখব।,I will see the target.,iɲ d̪ɔ bed͡ʒʰa ɲɛla.
তারা বলছে।,They are speaking.,oŋkoko ɾɔɽɛd̪a.
তোমরা মাছ ও ঘড়ি কিনবে।,You all will buy the fish and the watch.,apɛ d̪ɔ haku aɾ gʰuɽi kiɾiɲa.
তারা ডাক্তার সাহায্য করবে না।,They do not help the doctor.,oŋko d̪ɔ ɖak̚t̪aɾ bako gɔɽɔa.
আমরা দুধ পান করব।,We will drink the milk.,alɛ d̪ɔ t̪o̯͡a ɲua.
বাড়িতে একটি ভূত আছে।,There is an apparition in the house.,ɔɽaʔɾɛ bʰeo̯na menaa.
আজ আমরা মাছ খেয়ে হ্রদে যাব।,"Today, we eat the fish and then go to the lake.",t̪eheɲɾɛ alɛ haku ɟɔmkat̪ɛ ɟɔlaɾɛ calaʔa.
বাসস্থানে একটি রান্না আছে।,There is a cooked food in the dwelling place.,basɾɛ basaŋ menaa.
তারা ঔষধ কিনবে।,They will buy the medicine.,oŋko d̪ɔ ɾan kiɾiɲa.
তারা মধু খেয়েছে।,They have eaten the honey.,oŋko d̪ɔ ɲɛlɛɾasa ɟɔmakada.
আমাদের ভণ্ড আনন্দের।,Our pretender is happy.,alɛaʔ bʰiduk d̪ɔ ɾɘskɘa.
শহরে একটি বাড়ি আছে।,There is a house in the town.,sɔhɔɽɾɛ ɔɽaʔ menaa.
আমি মোবাইল ফোন বিক্রি করব।,I will sell the mobile phone.,iɲ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa.
আমি পাঠ পড়েছি।,I have studied the lesson.,iɲ d̪ɔ sikʰnɘt̪ paɽha͡o̯akada.
আস্থাটি পরিষ্কার।,The confidence is clean.,baɾsa d̪ɔ sapʰaa.
সেই সময় তারা দুধ পান করে হ্রদে খেলবে।,"At that time, they drink the milk and then play in the lake.",ɔkt̪ɛɾɛ oŋko t̪o̯͡a ɲukat̪ɛ ɟɔlaɾɛ gat̪ea.
আমাদের ভূমিকম্প ভালো।,Our earthquake is good.,alɛaʔ bʰut͡ʃampa d̪ɔ mɔ̃ɟa.
তোমরা কথা পড়বে না।,You all do not study the word.,apɛ d̪ɔ kat̪ʰa bapɛ paɽha͡o̯a.
ছাগলের বিষ্ঠাটি ছোট।,The goat's dropping is small.,bʰelə̃uɳɖi d̪ɔ lɘʈua.
তোমাদের বাঘ ভালো।,Your tiger is good.,apɛaʔ t̪ɘɾup̚ʔ d̪ɔ mɔ̃ɟa.
ব্যাঙের ডাকটি পরিষ্কার।,The croak of frogs is clean.,bɛbɛ d̪ɔ sapʰaa.
তুমি মাছ ও খাবার খাবে।,You will eat the fish and the food.,am d̪ɔ haku aɾ ɟɔmaʔ ɟɔma.
তার শিশু ভালো।,His/her child is good.,uniaʔ gid̪ɾɘ d̪ɔ mɔ̃ɟa.
তারা কথা লিখেছিল।,They wrote the word.,oŋkoko kat̪ʰa ɔlɔʔkeda.
একটি প্রজন্ম বাড়িতে আছে।,One generation is in the house.,mit̪ʔʈɛn bibɔɾɔn d̪ɔ ɔɽaʔɾɛ menaa.
তোমরা অপেক্ষা করছ।,You all are waiting.,apɛpɛ t̪ɘŋgiɛd̪a.
আমরা কথা লিখেছিলাম।,We wrote the word.,alɛlɛ kat̪ʰa ɔlɔʔkeda.
তাদের শহর পরিষ্কার।,Their town is clean.,oŋkoaʔ sɔhɔɽ d̪ɔ sapʰaa.
আমি ঘড়ি বিক্রি করেছিলাম।,I sold the watch.,iɲiɲ gʰuɽi ɘkʰɾiɲkeda.
তুমি কিশোর দেখবে না।,You do not see the lad.,am d̪ɔ bat͡ʃʰɽa bam ɲɛla.
তোমরা বনরুই দেখেছ।,You all have seen the ant-eater.,apɛ d̪ɔ aɾba ɲɛlakada.
সেই সময় তুমি ভাষা লিখে গ্রামে আসবে।,"At that time, you write the language and then come to the village.",ɔkt̪ɛɾɛ am pɘɾsi ɔlɔʔkat̪ɛ at̪oɾɛ hiɟuʔa.
আমার ঝড়বৃষ্টি নতুন।,My storm of wind & rain is new.,iɲaʔ əndʰi dak̕ d̪ɔ nɔwaa.
তুমি ভাষা লিখেছ।,You have written the language.,am d̪ɔ pɘɾsi ɔlɔʔakada.
তোমাদের ফুলের বৃতি পরিষ্কার।,Your calyx of flower is clean.,apɛaʔ bɛnɛt d̪ɔ sapʰaa.
তোমরা খাবার বিক্রি করবে না।,You all do not sell the food.,apɛ d̪ɔ ɟɔmaʔ bapɛ ɘkʰɾiɲa.
তুমি খাবার ও মাছ কিনবে।,You will buy the food and the fish.,am d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲa.
তারা দুধ পান করেছিল।,They drank the milk.,oŋkoko t̪o̯͡a ɲukeda.
তুমি ডাক্তার সাহায্য করবে।,You will help the doctor.,am d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
স্কুলে একটি মোবাইল ফোন আছে।,There is a mobile phone in the school.,iskulɾɛ mɔbaĭl pʰon menaa.
নদীতে একটি অবসর আছে।,There is a leisure in the river.,gaɖaɾɛ apʰsoɾ menaa.
বাসস্থানে একটি কাজ আছে।,There is a work in the dwelling place.,basɾɛ kɘmi menaa.
সেই সময় তোমরা খাবার খেয়ে হ্রদে আসবে।,"At that time, you all eat the food and then come to the lake.",ɔkt̪ɛɾɛ apɛ ɟɔmaʔ ɟɔmkat̪ɛ ɟɔlaɾɛ hiɟuʔa.
"আমরা খাবার বিক্রি করব, কিন্তু মাছ বিক্রি করব না।","We will sell the food, but do not sell the fish.",alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲa mɛnkʰan haku balɛ ɘkʰɾiɲa.
সে পাত্র দেখবে না।,He/she does not see the receptacle.,uni d̪ɔ anataŋ bai̯ ɲɛla.
তারা পাঠ পড়বে।,They will study the lesson.,oŋko d̪ɔ sikʰnɘt̪ paɽha͡o̯a.
বাসস্থানে একটি মধু আছে।,There is a honey in the residence.,basaɾɛ ɲɛlɛɾasa menaa.
সে ভাড়াটে কর্মী ও নেতিবাচক দেখবে।,He/she will see the hired worker and the negative.,uni d̪ɔ bənkəɾ aɾ baŋ ɲɛla.
তুমি ঘড়ি কিনবে।,You will buy the watch.,am d̪ɔ gʰuɽi kiɾiɲa.
তার খাবার পরিষ্কার।,His/her food is clean.,uniaʔ ɟɔmaʔ d̪ɔ sapʰaa.
তোমরা কালো ভাল্লুক ও বাদ পড়া দেখবে।,You all will see the black bear and the omission.,apɛ d̪ɔ bana aɾ bʰul t͡ʃuk ɲɛla.
পুকুরটি পরিষ্কার।,The pool is clean.,agʰoɾni d̪ɔ sapʰaa.
মা কোথায় আছে?,Where is the mother?,gɔgɔ d̪ɔ ɔkaɾɛ menaa.
তোমার উৎসব নতুন।,Your festival is new.,amaʔ pɔɾɔb d̪ɔ nɔwaa.
দয়া করে কথা লিখো।,Please write the word.,d̪a.ja kat̪ɛ kat̪ʰa ɔlɔʔmɛ.
সে বিশ দেখবে।,He/she will see the twenty.,uni d̪ɔ baɾ gɛl ɲɛla.
সে কথা লিখবে।,He/she will write the word.,uni d̪ɔ kat̪ʰa ɔlɔʔa.
"আমরা অভিযোগকারী দেখব, কিন্তু উই পোকা দেখব না।","We will see the accuser, but do not see the termite.",alɛ d̪ɔ bədi ɲɛla mɛnkʰan bʰuku balɛ ɲɛla.
একটি নবজাতক হ্রদে আছে।,One infant is in the lake.,mit̪ʔʈɛn balɛ d̪ɔ ɟɔlaɾɛ menaa.
তোমরা আসছ।,You all are coming.,apɛpɛ hiɟuʔɛd̪a.
তুমি পাঠ পড়বে।,You will study the lesson.,am d̪ɔ sikʰnɘt̪ paɽha͡o̯a.
ইংল্যান্ডে একটি শ্রমিক আছে।,There is a navvy in the england.,bilətɾɛ beldaɾ menaa.
হাত কোথায় আছে?,Where is the hand?,t̪i d̪ɔ ɔkaɾɛ menaa.
ইংল্যান্ডে একটি মা আছে।,There is a mother in the england.,bilətɾɛ gɔgɔ menaa.
পাড়াে একটি আদালত আছে।,There is a court in the neighbourhood.,aɖe paseɾɛ adalot menaa.
আমি রান্না ও মধু খাব।,I will eat the cooked food and the honey.,iɲ d̪ɔ basaŋ aɾ ɲɛlɛɾasa ɟɔma.
আমার ডাক্তার ভালো।,My doctor is good.,iɲaʔ ɖak̚t̪aɾ d̪ɔ mɔ̃ɟa.
আমরা খাবার ও মাছ কিনব।,We will buy the food and the fish.,alɛ d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲa.
"সে মোবাইল ফোন কিনবে, কিন্তু মাছ কিনবে না।","He/she will buy the mobile phone, but does not buy the fish.",uni d̪ɔ mɔbaĭl pʰon kiɾiɲa mɛnkʰan haku bai̯ kiɾiɲa.
একটি ঘড়ি বাড়িতে আছে।,One watch is in the house.,mit̪ʔ gʰuɽi d̪ɔ ɔɽaʔɾɛ menaa.
মাফ (হাতঢাকা)টি গুরুত্বপূর্ণ।,The muff is important.,bembʰa d̪ɔ ɟɘɾuɽa.
বাসস্থানে একটি জট পাকানো আছে।,There is a jumble in the residence.,basaɾɛ beɲd͡ʒaɲ biɲd͡ʒiɲ menaa.
দয়া করে ভাষা পড়ো।,Please study the language.,d̪a.ja kat̪ɛ pɘɾsi paɽha͡o̯mɛ.
সেই সময় সে দম্ভ দেখে বাড়িতে খেলবে।,"At that time, he/she see the boasting and then play in the house.",ɔkt̪ɛɾɛ uni bakʰaɾa ɲɛlkat̪ɛ ɔɽaʔɾɛ gat̪ea.
আমরা মোবাইল ফোন বিক্রি করব।,We will sell the mobile phone.,alɛ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa.
একটি রান্না হ্রদে আছে।,One cooked food is in the lake.,mit̪ʔ basaŋ d̪ɔ ɟɔlaɾɛ menaa.
"তারা কথা পড়বে, কিন্তু ভাষা পড়বে না।","They will study the word, but do not study the language.",oŋko d̪ɔ kat̪ʰa paɽha͡o̯a mɛnkʰan pɘɾsi bako paɽha͡o̯a.
আমরা বলছি।,We are speaking.,alɛlɛ ɾɔɽɛd̪a.
তারা পড়ছে।,They are studying.,oŋkoko paɽha͡o̯ɛd̪a.
উঠানে একটি ছাগলের বিষ্ঠা আছে।,There is a goat's dropping in the courtyard of house.,bəteɾɛ bʰelə̃uɳɖi menaa.
আমি ঔষধ ও মোবাইল ফোন কিনব।,I will buy the medicine and the mobile phone.,iɲ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa.
"তোমরা একমুঠো দেখবে, কিন্তু সম্পদ দেখবে না।","You all will see the handful, but do not see the wealth.",apɛ d̪ɔ aɲd͡ʒle ɲɛla mɛnkʰan at͡ʃel bapɛ ɲɛla.
তুমি এক প্রজাতির হরিণ দেখেছিলে।,You saw the a species of antelope.,amɛm bʰãoʈia ɲɛlkeda.
উঠানে একটি আমড়া (ফল) আছে।,There is a hog plum in the courtyard of house.,bəteɾɛ bədʰiə̯ menaa.
আমরা পানি ও দুধ পান করব।,We will drink the water and the milk.,alɛ d̪ɔ d̪aʔ aɾ t̪o̯͡a ɲua.
উৎসবটি নতুন।,The festival is new.,pɔɾɔb d̪ɔ nɔwaa.
আমরা পাঠ পড়েছিলাম।,We studied the lesson.,alɛlɛ sikʰnɘt̪ paɽha͡o̯keda.
আমি কথা পড়েছিলাম।,I studied the word.,iɲiɲ kat̪ʰa paɽha͡o̯keda.
আমার ভাই ছোট।,My brother is small.,iɲaʔ bɔ͡i̯ha d̪ɔ lɘʈua.
"তুমি ভাষা বলবে, কিন্তু কথা বলবে না।","You will speak the language, but do not speak the word.",am d̪ɔ pɘɾsi ɾɔɽa mɛnkʰan kat̪ʰa bam ɾɔɽa.
তারা সাহায্য করছে।,They are helping.,oŋkoko gɔɽɔɛd̪a.
উৎসবটি ভালো।,The festival is good.,pɔɾɔb d̪ɔ mɔ̃ɟa.
নদীতে একটি মা আছে।,There is a mother in the river.,gaɖaɾɛ gɔgɔ menaa.
তারা খাবার খেয়েছিল।,They ate the food.,oŋkoko ɟɔmaʔ ɟɔmkeda.
