bangla,english,santali
প্রতিবেশী ১: এখন আচার-অনুষ্ঠানের চেয়ে গান-বাজনাই বেশি হয়।,Neighbor 1: Now there is more singing and dancing than programs and rituals.,nɛt̪aɾ d̪ɔ ɘɾi cali bɘgikat̪ɛ ɛnɛʲc̚ʔ siɾiɲge ɟɘst̪i hojoʔkana.
"প্রতিবেশী ২: হ্যাঁ, ছেলেমেয়েরা জোরে জোরে গান বাজায় আর হই-হুল্লোড় করে।","Neighbor 2: Yes, the children are playing loud music and shouting these days.","hɛ̃, gid̪ɾɘkod̪ɔ ɘɖi ɾaŋga͡o̯ seɾeɲko aɾaʔkaʔa aɾ ko kɘ͡o̯mɘ͡o̯ɔʔa."
প্রতিবেশী ২: এখন অনেক দোকানপাট বসে আর বেচাকেনা হয়।,Neighbor 2: Now many shopkeepers sit and sell their stuff.,nɛt̪aɾ d̪ɔ haʈ baɟaɾlɛka kiɾiɲ ɘkʰɾiɲgi ɟɘst̪i hojoʔkana.
"প্রতিবেশী ১: আমার মনে আছে, ছোটবেলায় আমি বাবার হাত ধরে মেলায় যেতাম।","Neighbor 1: I remember, when I was a child, I used to go to the fair holding my father's hand.",iɲ d̪isɘ͡i̯d̪a kɘʈiʲc̚ʔɾɛ iɲd̪ɔ iɲbabaɔ̯͡aʔ t̪i sap̚ʔ kat̪ɛ mɛlaɲ calaʔkan t̪ahɛ̃na.
প্রতিবেশী ১: আত্মীয়স্বজনের বাড়িতে বেড়াতাম।,Neighbor 1: I used to visit my relatives' houses.,pɛɽa ɔɽaʔkoɾɛɲ d̪aɽankan t̪ahɛ̃na.
প্রতিবেশী ১: বয়স্কদের প্রণাম করতাম।,Neighbor 1: I used to greet the elders with bowing down.,lɘʈukuɲ ɖɔbɔʔakokan t̪ahɛ̃na.
প্রতিবেশী ১: তারা আমাকে আশীর্বাদ করতেন এবং উপহার দিতেন।,Neighbor 1: They used to bless me and gave me gifts.,aɾ uŋku d̪ɔ ɘsiɾbat̪̚kat̪ɛ ɟahanaʔko imɘɲkan t̪ahɛ̃na.
প্রতিবেশী ২: বাবা আমাদের জন্য নতুন জামা কিনে দিতেন।,Neighbor 2: Father used to buy new clothes for us.,aɾ ɘpuɲ d̪ɔ alɛ nao̯͡a kic̚ɾiʲc̚ʔɛ kiɾiɲalɛkan t̪ahɛ̃na.
প্রতিবেশী ২: আমরা নতুন জামা-কাপড় পরে এই বাড়ি ওই বাড়ি ঘুরে ঘুরে আনন্দ করতাম।,Neighbor 2: We used to go from house to house wearing new clothes.,naɔ̯͡a kic̚ɾiʲc̚ʔ hɔɾɔʔ kat̪ɛ alɛ d̪ɔ ɾɘskɘ t̪ɛ hana ɔɽaʔ nʰaɔ̯͡a ɔɽaʔlɛ ɘcuɾɔʔkan t̪ahɛ̃na.
"প্রতিবেশী ২: যে বাড়িতে যেতাম, সেই বাড়িতে আমাদের খেতে দেওয়া হতো।",Neighbor 2: We were offered food at any houses we used to visit.,ɔka ɔɽaʔlɛ calaʔ ɔna ɔɽaʔɾɛge ɟɔmko emalɛkan t̪ahɛ̃na.
"প্রতিবেশী ১: আমরা গান-বাজনা, নাচানাচি, আনন্দফূর্তি সবই করতাম।","Neighbor 1: We used to be singing, dancing, having fun and everything.",alɛ d̪ɔ ɽɘskɘt̪ɛlɛ ɛnɛʲc̚ʔ seɾeɲɟɔŋkan t̪ahɛ̃na.
"প্রতিবেশী ১: কিন্তু এত হইচই করিনি, জোরে গান বাজিয়ে লোকজনকে বিরক্ত করিনি।","Neighbor 1: But we didn't make so much chaos, we didn't disturb people by playing loud music.",mɛnkʰan alɛ d̪ɔ balɛ kɘ͡o̯mɘ͡o̯ăka.a sɛ ɾaŋga͡o̯t̪ɛ siɾiɲ aɽaʔkat̪ɛ hɔɽku d̪ɔ balɛ ed̪ɾe oco̯͡akaʔko̯͡a.
"প্রতিবেশী ১: তখন পাড়ায়-পাড়ায়, পরিবারে-পরিবারে যোগাযোগ হতো।","Neighbor 1: Back then there used to be communications from neighborhood to neighborhood, family to family.",unɟɔkʰɛc̚ʔ d̪ɔ hana at̪o nʰaɔ̯͡a at̪o hana gʰaɾɔ̃ɟ nʰao̯͡a gʰaɾɔ̃ɟ calaʔ hɘɟuʔ t̪ahɛ̃kant̪ako̯͡a.
প্রতিবেশী ২: ছোটরা বড়দের সম্মান করতো এবং বড়রা ছোটদের স্নেহ করতো।,Neighbor 2: The youngers respected the elders and the elders adored the youngers.,"kɘʈiʲc̚ʔko d̪ɔ lɘʈukoko manɔt̪ɛʔko t̪ahɛ̃na, aɾ lɘʈukod̪ɔ kɘʈiʲc̚ʔkoko d̪ulɘɽɛʔko t̪ahɛ̃na."
প্রতিবেশী ২: সবাই সবার খোঁজখবর রাখতো।,Neighbor 2: Everyone used to look out for everyone.,ɟɔt̪ɔ hɔɽ ɟɔt̪ɔ hɔɽaʔ boge ɟud̪ɘku baɖa͡i̯ɟɔŋkan t̪ahɛ̃na.
প্রতিবেশী ১: এখন সবকিছু বদলে যাচ্ছে।,Neighbor 1: Everything is getting changed now.,net̪aɾ d̪ɔ ɟɔt̪ɔgi ɟud̪ɘ cabaʔkana.
প্রতিবেশী ১: অনেকে তাদের পাশের বাড়ির খবরও রাখে না।,Neighbor 1: Many people don't even look out for their neighbors.,ad̪ɔmko d̪ɔ aɖɛpasɛɾɛnko̯͡aʔ bugeɟud̪ɘhɔ̃ bako baɖa͡i̯kana.
"প্রতিবেশী ২: হ্যাঁ, ঠিক বলেছ।","Neighbor 2: Yes, you have told the right thing..","hɛ̃, ɟɔt̪ʰat̪̚gim ɾɔːɽakaʔa."
প্রতিবেশী ১: আমাদেরকে এইসব ব্যাপারে সতর্ক থাকতে হবে।,Neighbor 1: We have to be careful about these things.,abu no̯͡ako babɔt̪̚ʔt̪ɛ sɔnt̪ɔɾ t̪ahɛ̃n hojoʔ t̪abona.
গর্ভধারণের পরপরই গর্ভবতী মায়ের ডাক্তারের কাছে যাওয়া উচিত।,A pregnant woman (mother) should visit a doctor immediately right after conception.,hɔɽmɔɾɛ gid̪ɾɘ hɛʲc̚ʔ t̪a.jɔm t̪a.jɔmge gɔgɔ hɔɽaʔ ɖakt̪aɾʈʰɛʲc̚ʔ calaʔ ɟɘɾuɽa.
এই সময়ে কোনো ছোটোখাটো অসুখকেও অবহেলা করা উচিত/ ঠিক নয়।,Any minor ailment should not be neglected during this time.,nɔŋkan ɔkt̪ɛɾɛ kɘʈiʲc̚ʔ lɘʈu ɟãhalɛkan ɾu̯͡ɘge baŋ pɔsɽa͡o̯ ho.jo.a.
এই সময়ে কী কী করা দরকার তা ডাক্তারের কাছ থেকে জেনে নেয়া ভালো।,It is better to know from the doctor what needs to be done at this time.,no̯͡a ɔkt̪ɛɾɛ ganɔʔ baŋ ganɔʔ kɘmiko d̪ɔ ɖak̚t̪aɾ ʈʰɛn kʰɔn baɖa͡i̯ɟɔŋ ho.jo.a.
এই সময় কী কী খাবার খেলে বাচ্চা ও মা দুজনই ভালো থাকবে — সেদিকে নজর দিতে হবে।,"In this time, attention should be paid to what kind of food one gives the mother to eat so that both the baby and the mother will be well.",ɔna ɔkt̪ɛ cɛt̪̚ʔ cɛt̪̚ʔ ɟɔm lɛkʰan gid̪ɾɘ aɾ gɔgɔ hɔɽaʔ boge ho.jo.a ɔnahɔ̃ ɲɛl ho.jo.a.
গর্ভবতী মায়ের কোনো ভারি কাজ করা উচিত নয়।,A pregnant mother should not do any heavy work.,ɟahan hamal kɘmi kɘmi͡i̯ d̪ɔ pɛɾɛʲc̚ʔ hɔɽmɔ gɔgɔ hɔɽaʔ baŋ ganɔ.a.
গর্ভবতী মা-কে সবসময় পুষ্টিকর/ ভালো ভালো খাবার দিতে হবে।,A pregnant mother should always be given nutritious/good food.,hamal hɔɽmɔ gɔgɔhɔɽ d̪ɔ bʰage bʰage ɟɔm ɲu emako ho.jo.a.
এই সময় উপোস করা/ না খেয়ে থাকা যাবে না।,During this time fasting is not permitted.,no̯͡a ɔk̚t̪ɛ bɛgɔɾ ɟɔmt̪ɛ baŋ t̪ãhɛn ho.jo.a.
মায়ের শরীর যেন বেশি ভারি হয়ে না যায় সেদিকে খেয়াল রাখতে হবে।,We have to be careful so that the mother's body does not become too heavy.,gɔgɔ hɔɽaʔ hɔɽmɔ ɟɛnɔ ɘɖi ɟɘst̪i baŋ hamalɔʔt̪a͡i̯ ɔnt̪ɛhɔ̃ ɲɛl ho.j.a.
গর্ভবতীর শরীর বেশি ভারি হয়ে গেলে নানারকম অসুখ হতে পারে।,"If the pregnant woman's body becomes too heavy, various diseases can attack.",hɔɽmɔ ɘɖi ɟɘst̪i hamal lɛnkʰan uni gɔgɔ hɔɽaʔ a͡i̯malɛkan ɾu̯͡ɘ haso ho͡i̯ d̪aɽe.jaʔa.
"নিপা: হ্যালো, (নমস্কার)! ডাক্তার বলছেন?","Nipa: Hello, (Greetings)! Is the Doctor speaking?","ɟohaɾ, ɖak̚t̪aɾɛm mɛnd̪a?"
"ডাক্তার: জী, বলছি।","Doctor: Yes, I am speaking.",hɛɲ mɛnɛd̪a.
নিপা: আমার ছেলেটার হঠাৎ করে সর্দি আর পাতলা পায়খানা শুরু হয়েছে।,Nipa: My son got attacked by a sudden cold and diarrhoea.,iɲɾɛn kɔɽa gid̪ɾɘɔ̯͡aʔ huʈgɘɾit̪ɛ mand̪a aɾ ciɖiɾ ɛhɔb̚ʔakant̪a.ja.
ডাক্তার: আপনার বাচ্চার বয়স কত?,Doctor: How old is your child?,amɾɛn gid̪ɾɘɔ̯͡aʔ t̪inɘʔ umɘɾ.
নিপা: তার বয়স ১০ মাস।,Nipa: He is 10 months old.,uni.jaʔ umɘɾ gɛl cand̪o.
ডাক্তার: তার গায়ে কি জ্বর আছে?,Doctor: Does he have a fever?,uni.jaʔ hɔɽmɔɾɛ cɛt̪̚ʔ ɾu̯͡ɘ mɛna.a?
"নিপা: গায়ে জ্বর নেই, তবে গা কিছুটা গরম হয়ে আছে।","Nipa: Not a fever, but his body is slightly warm.","hɔɽmɔɾɛ ɾu̯͡ɘ bɘnua, t̪ɔbɛ hɔɽmɔ t̪ʰɔɽa lɔlɔge mɛna.a."
ডাক্তার: বাচ্চার এই অবস্থা কতদিন ধরে?,Doctor: How long has this condition been for the child?,gid̪ɾɘɔ̯͡aʔ ni̯͡ɘ halɔt̪̚ʔ t̪inɘʔdinkʰɔn?
নিপা: গতকাল রাত থেকে এই অবস্থা শুরু হয়েছে।,Nipa: This situation started from last night.,hɔla ɲind̪ɘkʰɔn ni̯͡ɘ halɔt̪̚ʔ ɛhɔp̚ʔakanta.ja.
ডাক্তার: সকাল থেকে কতবার পায়খানা করেছে সে?,Doctor: How many times has he defecated since morning?,sɛt̪aʔkʰɔn uni t̪inɘʔd̪ʰa͡o̯ɛ ʈɘnɖi.jakad̪a.
নিপা: সকাল থেকে সে ৫ বার পায়খানা করেছে।,Nipa: He has defecated 5 times since morning.,set̪aʔkʰɔn uniː mɔ̃ɽɛd̪ʰaɔ̯͡͡ɛ ʈɘnɖi.jakad̪a.
ডাক্তার: পায়খানা কী পাতলা নাকি ঘন?,Doctor: Is the stool thin or thick?,ʈɘnɖit̪ɛt̪̚ʔd̪ɔ cɛt̪̚ʔ lɛhɛɾge.ja sɛ kɛʈɛʲc̚ʔge.ja.
নিপা: খুব বেশি পাতলা নয়।,Nipa: Not too thin.,ɘɖi ɟɘst̪id̪ɔː baŋ lɛhɛɾa.
ডাক্তার: স্যালাইন খাওয়ান।,Doctor: Give him saline to drink.,sɛla.jin ɲu ŭcu.jɛm.
ডাক্তার: ডাবের পানিও খাওয়াতে পারেন।,Doctor: You can also give him coconut water to drink.,ɖab ɾe.jaʔ d̪aʔ hɔ̃m ɲu oco d̪aɽeo̯͡a.ja.
ডাক্তার: আর জ্বর থাকলে (এই) ওষুধটা খাওয়াবেন।,"Doctor: And, if he has a fever, give him [this] medicine.",aɾ ɾu̯͡ɘ t̪ahɛnkʰan ni.jɘ ɾaːnɛm ɟɔmŏco͡i̯.ja.
নিপা: ওষুধ আর বুকের দুধের বাইরে কি বাচ্চাকে জাউ ভাত খাওয়াবো?,Nipa: Should I feed the baby rice porridge in addition to the medicine and breast milk?,ɾan aɾ kɔɽam ɾe.jaʔ t̪o̯͡a baɾhɛ cɛt̪̚ʔ gid̪ɾɘ d̪ɔ ɟɘ͡o̯ d̪akaɲ ɟɔm oco d̪aɽeɔ̯͡a.ja?
ডাক্তার: দরকার নেই।,Doctor: No need to do that.,ɟɘɾuɽ bɘnu.a.
"নিপা: ধন্যবাদ আপনাকে, (নমস্কার)।","Nipa: Thank you, (Greetings).","amd̪ɔ ai̯͡ma saɾha͡o̯, ɟohaɾ."
আমাদের বাড়ির পাশে বড় একটা বাঁশঝাড় আছে।,There is a big bamboo forest next to our house.,alɛ ɔɽaʔ aɽeɾɛ mit̪̚ʔʈɛʲc̚ʔ lɘʈugi mãt̪̚ʔ t̪ʰɔp̚ʔ mena.a.
সেখানে চেনা-অচেনা অনেক রকমের পাখি বাস করে।,Many types of known and unknown birds live there.,ɔnɖɛ d̪ɔ baɖa͡i̯ baŋ baɖa͡i̯ nanahunɘɾ cɛ̃ɽɛ̃ko ta̪hɛ̃na.
প্রতিদিন সকালে সেই পাখিদের ডাক শুনে আমরা ঘুম থেকে উঠি।,Every morning we wake up to the chirping of those birds.,d̪inɘmhilɘʔ set̪aʔɾɛ cɛ̃ɽɛ̃ko̯͡aʔ cɛɾɔbɛɾɔ aɲɟɔmt̪ɛ alɛ d̪ɔlɛ ɛbʰɛnɔʔa.
পাখিদের ডাকাডাকি শুনে মন ভালো হয়ে যায়।,Hearing the birds' chirping makes you feel better.,cɛ̃ɽɛ̃ko̯͡aʔ cɛɾɔbɛɾɔ aɲɟɔmt̪ɛ ale.jaʔ mɔn d̪ɔ ɾɘskɛt̪ɛ pɛɾɛɟɔʔa.
পাখিদের মধ্যে সবচেয়ে ছোট পাখির নাম টুনটুনি।,The Warbler is the tiniest bird among all the birds.,oŋko mut̪̚ʔɾɛ kɘʈiʲc̚ʔ ut̪ɘɾiʔ cɛ̃ɽɛ̃.jaʔ ɲut̪um d̪ɔ pʰecaʔ
"তারা এক জায়গায় বসে থাকে না, এক ডাল থেকে অন্য ডালে উড়ে বেড়ায়।","They do not sit in one place, but fly from one branch to another branch of trees.","noko d̪ɔ bako d̪uɽup̚ʔ t̪ʰiɾu.a, mit̪̚ʔ ɖɘɾ kʰɔn eʈaʔ ɖɘɾko uɖɘ͡o̯ baɽa.ja."
দেখে মনে হয় তারা সবসময় নেচে বেড়াচ্ছে।,They seem to be always dancing.,ɲɛlkat̪ɛm mɛnke̯͡a ɛnɛɟɔʔt̪igi menaʔko̯͡a.
তাদের চেয়ে আরেকটু বড় একটা পাখির নাম চড়ুই।,A little bigger bird than them is called the Sparrow.,onko kʰɔn lɘʈu macʰi cɛ̃ɽɛ̃.jaʔ ɲut̪m d̪ɔ gʰa͡o̯ɽa.
তারাও টুনটুনির মতো ডালে ডালে উড়ে বেড়ায়।,They also fly from branches to branches like the Warbler.,uŋkohɔ̃ pʰecaʔ cɛ̃ɽɛ̃leka hana ɖɘɾ nʰao̯͡a ɖɘɾku uɖɘ͡o̯ baɽa.ja
আরেক ধরনের ছোট পাখির নাম বাবুই।,Another type of small bird is called the Weaver.,aɾ mit̪̚ʔlɛkan kɘʈiʲc̚ʔ cɛ̃ɽɛ̃ɔ̯͡aʔ ɲut̪um d̪ɔ hojoʔkana hisi cɛ̃ɽɛ̃
তারা গাছের ডালে অনেক সুন্দর বাসা বানাতে পারে।,They can make very beautiful nests in the tree branches.,oŋko d̪ɔ d̪aɾɛ ɖɘɾɾɛ ɘɖi mɔ̃ɟ mɔ̃ɟ t̪ukɘku bɛnaɔ̯͡a.
তাদের চেয়ে একটু বড় পাখি বুলবুলি।,A little bigger bird than them is the Nightingale.,aɾ uŋko kʰɔn t̪ʰɔɽa lɘʈu cɛ̃ɽɛ̃.jaʔ ɲut̪um d̪ɔ hojoʔkana ʈiʔʈɔɽɔ̃ʔ.
এই পাখি অনেক ভালো গান গাইতে পারে।,This bird can sing very well.,nɔŋkan cɛ̃ɽɛ̃ ɘɖi mɔ̃ɟ cɛɾɔbɛɾɔko seɾeɲa.
অনেক সময় বাচ্চারা পাখির বাসা ভাঙে এবং তাদের বাচ্চা চুরি করে।,Many times children break the nests of the birds and steal their babies.,ɔka d̪ɔ gid̪ɾɛko cɛ̃ɽɛ̃ t̪ukɘku ɾɘpud̪a aɾ uŋkoɾɛn hɔpɔnko t̪i.jɘʔko̯͡a.
এতে পাখিরা অনেক কষ্ট পায়।,The birds suffer a lot because of this.,onat̪ɛ cɛ̃ɽɛ̃ku d̪ɔ ɘɖi d̪uk̚ku ɲaːma.
পাখিদের ক্ষতি করা উচিত নয়/ ভালো নয়।,Birds should not be harmed/ not good to harm the birds.,cɛ̃ɽɛ̃ko̯͡aʔ bɘɽiʲc̚ʔ hojoʔ noŋkan kɘmi kɘmi͡i̯ dɔ̪ baŋ leːka.
"ক্রেতা: ভাই, আমার ৫ কেজি চাল লাগবে।","Buyer: Brother, I need 5 KGs of rice.","bɔ͡i̯ha, iɲ mɔ̃ɽɛ kiɟi ca͡o̯le laga͡o̯ɘɲɘ."
বিক্রেতা: সেদ্ধ চাল নাকি আতপ চাল নিবেন?,Vendor: Will you take parboiled rice or sunned rice?,t̪iki ca͡o̯le sɛ ad̪o̯͡a ca͡o̯lem hat̪a͡o̯a.
ক্রেতা: আতপ চালের দাম কত?,Buyer: How much is the price of sunned rice?,ad̪o͡a̯ ca͡o̯le ɾe.jaʔ d̪am t̪inɘʔ
বিক্রেতা: ৮০ টাকা কেজি।,Vendor: BDT 80 per KG.,kiɟiɾɛ iɾɘl gɛl kɘ͡o̯ɖi.
ক্রেতা: এত দাম বেড়ে গেছে!,Buyer: The price has increased so much!,unɘʔ d̪am ɖʰeɾăkana.
বিক্রেতা: বাজারে এখন সবকিছুর দাম-ই বেড়ে গেছে।,Vendor: Everything in the market has gone up in price now.,baɟaɾ ɾɛ ɲit̪̚ʔ sanamaʔ ɾe.jaʔ d̪amge ɖʰeɾăkana.
বিক্রেতা: এবার ঝড়ে অনেক ধান নষ্ট হয়েছে।,Vendor: A lot of paddy has been damaged in the storm this year.,ni͡ɘd̪ʰa͡o̯ hɔi̯͡d̪aʔt̪ɛ a͡i̯ma hoɽo kʰot̪i.jakana.
বিক্রেতা: তাই বাজারে চাল কম।,Vendor: So there is a rice crisis in the market.,ɔnat̪ɛ baɟaɾɾɛ ca͡o̯le t̪ʰɔɽage.ja.
ক্রেতা: আমাকে ৫ কেজির বদলে ৩ কেজি আতপ চাল দেন।,Buyer: Give me 3 KGs of sunned rice instead of 5 KGs.,iɲd̪ɔ mɔ̃ɽɛ kiɟi bɔd̪ɔlt̪ɛ pɛ kiɟi ad̪o̯͡a ca͡o̯le imɘɲmɛ.
ক্রেতা: সাথে ১ কেজি মুড়িও দিবেন।,Buyer: Also give 1 KG of puffed rice.,sã͡o̯t̪ɛ mit̪̚ʔ keɟi kʰɘɟɘɽihɔ̃ imɘɲmɛ.
বিক্রেতা: আর কী কী লাগবে?,Vendor: What else do you need?,aɾ cɛt̪̚ʔ cɛt̪̚ʔ laga͡o̯ma?
"ক্রেতা: একজোড়া নারকেল, একটা গোসলের সাবান ও একটা কাপড় ধোয়ার সাবান লাগবে।","Buyer: Also need a couple of coconuts, a bath soap and a laundry soap.","mit̪̚ʔ ɟɔɽa nɘɽkɔɽ, miʔʈɛn ɖɘbɾɘ sɘbun, aɾ miʔʈɛn kic̚ɾiʔ sɘbun laga͡o̯ɲɘ."
বিক্রেতা: আদা-রসুন কিছু লাগবে?,Vendor: Need some ginger-garlic?,ad̪ʰhɛ ɾɘsun ɟahanaʔ laga͡o̯ma?
"ক্রেতা: হ্যাঁ, আধা কেজি আদা দিবেন।","Buyer: Yes, give half a KG of ginger.","hɛ̃, ad̪ʰa keɟi ad̪ʰhɛm imɘɲɘ."
বিক্রেতা: আমি সবকিছু একসাথে প্যাকেট করে দিচ্ছি।,Vendor: I am packing everything together.,iɲd̪ɔ sanamaʔge mit̪̚ʔsã͡o̯t̪ɛɲ pɛkeʈamkana.
একটা পিঁপড়া পানি খেতে নদীর পাড়ে গেল।,An ant went to the river bank to drink water.,miʔʈɛn mũʲc̚ʔ d̪aʔ ɲu lɘgit̪̚ʔ gaɖa aɽe͡i̯ cala͡o̯ena.
অনেক জোরে বাতাস বইছিল এবং নদীতে অনেক স্রোত ছিল।,The wind was blowing very strongly and the river had a strong current.,ɘɖikaɟakɛ hɔ.jɛt̪̚ʔkan t̪ahɛ̃na aɾ gaɖaɾɛ ɘɖi kaɟak̚ sɔ̃t̪̚ʔ t̪ɛhɛkana.
বাতাসের কারণে পিঁপড়াটি পানিতে পড়ে গেল।,The ant fell into the water due to the wind.,hɔ͡i̯kakʰant̪ɛ muʲc̚ʔ d̪ɔ d̪aʔɾɛ.jɛ ɲuɾhɘ͡i̯na.
একটি ঘুঘুপাখি গাছের ডালে বসে এই ঘটনা দেখছিল।,A dove was sitting on a tree branch watching this happening.,mit̪̚ʔʈɛn pɔt̪am cɛ̃ɽɛ̃d̪ɔ d̪aɾɛ ɖɘɾɾɛ d̪uɽup̚ʔkat̪ɛ nɔ̯͡a gʰɔʈɔna͡i̯ ɲɛlɛt̪̚ʔkan t̪ahɛ̃na.
সে পিঁপড়াটিকে বাঁচানোর জন্য একটি পাতা পানিতে ফেলে দিল।,He threw a leaf into the water to save that ant.,uni d̪ɔ muʲc̚ʔɛː baɲca͡o̯ɛ lɘgit̪̚ʔ mit̪̚ʔʈɛn sakam d̪aʔɾɛ.jɛ ɲuɾhɘked̪a.
পিঁপড়াটি সেই পাতায় উঠে তার জীবন বাঁচালো,The ant climbed onto that leaf and saved its life.,mũʲc̚ʔ d̪ɔ ɔna sakamɾɛ d̪ɛʲc̚ʔkat̪ɛt̪̚ʔ a.jaʔ ɟiu̯͡i.jɛ baɲca͡o̯kɛd̪a.
এরপর পিঁপড়া আর ঘুঘু দুজন বন্ধু হয়ে গেল।,Then the ant and the dove became friends.,inɘ t̪a.jɔm muʲc̚ʔ aɾ pot̪am d̪ɔ banahɔɽ gat̪ekin ho͡i̯ĕna.
অনেকদিন পর এক শিকারি নদীর পাড়ে এলো।,After many days a hunter came to that bank of the river.,a͡i̯mad̪in t̪a.jɔm mit̪̚ʔ sikɘɾi.jɘ gaɖa aɽɛɾɛ.jɛ hɛʲc̚ʔena.
গাছের উপরে ঘুঘুটিকে দেখে শিকারি তার দিকে তীর তাক করলো।,"Seeing the dove on the tree, the hunter aimed his arrow at it.",d̪aɾe cɔʈ̚ɾɛ pɔt̪amɛ ɲɛlked̪ekʰan sikɘɾi.jɘ d̪ɔ a.jaʔ aʔɛː soɟheked̪a.
পিঁপড়াটি দেখতে পেয়ে তক্ষুণি শিকারির পায়ে কামড় দিল।,After seeing this the ant immediately bit the hunter's leg.,muʲc̚ʔd̪ɔ ɲɛlɲamkat̪ɛt̪̚ʔ unɾege.jɛ sikɘɾi.jɘɔ̯͡aʔ kaʈaɾɛ.jɛ gɛɾ ked̪e.ja.
কামড় খেয়ে শিকারির হাতের তীর নড়ে গেল এবং পাখিটি বেঁচে গেল।,The arrow fell from the hunter's hand after being bitten and the bird survived.,gɛɾ ɟɔm kat̪ɛ sikɘɾi.jɘ.ɔ̯͡aʔ t̪i ɾe.jaʔ saɾ d̪ɔ laɽa͡o̯ena aɾ cɛ̃ɾɛ̃d̪ɔi̯ baɲca͡ɔ̯ɛna.
"বোন: তুই কি জানিস, পাশের বাড়ির ছাগলের বাচ্চা হয়েছে!","Sister: Do you know, the goat next door had a baby!","baɖa.jam, paseɾ ɔɽaʔɾɛ mɛɾɔmko hɔpɔnakana!"
ভাই: ছাগল আমার ভালো লাগে না।,Brother: I don't like goats.,mɛɾɔmd̪ɔː iɲ mɔ̃ɟ bɘɲ ɘ͡i̯kɘ͡o̯ko͡a.
ভাই: আমার গরু ভালো লাগে।,Brother: I like cows.,iɲd̪ɔː ɖaŋgɾa mɔɟiɲ ɘ͡i̯kɘ͡o̯ko̯͡a.
ভাই: আমি গরু পালতে চাই।,Brother: I want to keep cows.,iɲd̪ɔː ɖaŋgɾa ɘsuliɲ mɛnd̪a.
বোন: কিন্তু গরুর জন্য অনেক বড় জায়গা লাগে।,Sister: But cows need a lot of space.,mɛnkʰan ɖaŋgɾa lɘgit̪̚ʔ ɘɖi maɾaŋ ɟa͡i̯ga laga.a.
বোন: আমাদের বাড়িতে অতবড় জায়গা নেই।,Sister: We don't have that much space in our house.,abo ɔɽaʔɾɛ unmaɾaŋ ɟa͡i̯ga bɘnu.a.
ভাই: গরু থাকলে আমরা তার কাছ থেকে দুধ খেতে পারতাম।,"Brother: If there was a cow, we could have milk to drink from it.",ɖaŋɾa͡i̯ t̪ahɛnkʰan abo uni ʈʰɛnkʰɔn t̪o̯͡ab̪on ɲu d̪aɽeke.ja.
"বোন: দুধ ছাগলেরও আছে, তুই সেই দুধও খেতে পারিস।","Sister: Milk can come from the goat too, you can drink that milk too.","t̪o̯͡a d̪ɔ mɛɾɔmaʔhɔ̃ mena.a, amd̪ɔ ɔna t̪o̯͡ahɔm ɲu d̪aɽe.ja.a."
ভাই: ছাগলের অনেকগুলো বাচ্চা হয়।,Brother: Goats have many baby goats.,mɛɾɔmɾɛn a͡i̯mako hɔpɔnɔʔa.
ভাই: বাচ্চাগুলো দুধ খাওয়ার পর ছাগলের বুকে আর দুধ থাকে না।,"Brother: After the baby goats drink milk, there is no more milk left in the goat's breast.",hɔpɔnko t̪o̯͡a ɲu t̪a.jɔm mɛɾɔmaʔ aɾ t̪o̯͡a baŋ ho.jo.a.
ভাই: তাই বেশি দুধ পাওয়া যায় না।,Brother: So not much milk is available.,ɔnat̪ɛ ɟɘst̪i t̪ɔ̯͡a baŋ ɲamɔ.a.
বোন: তুই ঠিক বলেছিস।,Sister: You have told the right thing.,am ʈʰik̚gem mɛːnakad̪a.
বোন: কিন্তু গরু কিনতে অনেক টাকা লাগে।,Sister: But it costs a lot of money to buy a cow.,mɛnkʰan ɖaŋɾa kiɾiɲt̪ɛ a͡i̯ma kɘ͡u̯ɖi laga.a.
বোন: বাবার কাছে গরু কেনার মতো টাকা নেই।,Sister: Father doesn't have enough money to buy a cow.,babaʈʰɛn ɖaŋɾa kiɾiɲlɛka kɘ͡u̯ɖi bɘnu.a.
ভাই: গরু কেনার জন্য আমি বাবাকে টাকা দেব।,Brother: I will give money to father to buy a cow.,ɖaŋɾa kiɾiɲ lɘgit̪̚ʔ iːɲ baba kɘ͡o̯ɖiɲ ema.ja.
বোন: তুই কোথা থেকে টাকা পাবি?,Sister: Where will you get the money from?,amd̪ɔ ɔkakʰɔn kɘ͡u̯ɖim ɲama?
ভাই: আমি প্রথমে মোরগ-মুরগি পালবো।,Brother: I will raise roosters and chickens first.,iɲd̪ɔ pɘhilɾɛ kalɔʈ̚ aɾ sɘnɖi simiɲ ɘsulko̯͡a.
ভাই: একটি মোরগ আর একটা মুরগি দিয়ে শুরু করবো।,Brother: I will start with a rooster and a hen.,miʔʈɛn sɘnɖi aɾ miʔʈɛn kalɔʈ̚ ni̯͡ɘt̪ɛɲ ɛhɔba.
ভাই: মুরগি থেকে একসাথে অনেকগুলো বাচ্চা হবে।,Brother: Chickens will have many chicks all at once.,simkʰɔn mit̪̚ʔsã͡ɔ̯t̪ɛ a͡i̯mako hɔpɔnɔʔa.
